ITEM_20150317_000001	$Elmo_vazio 
ITEM_20150918_006281	Pode-se obter de Pendinmire e Siaulogre.
ITEM_20150918_006282	Abrasivo de Cartão Nv1
ITEM_20150918_006283	Usado para melhorar Cartão. Aumenta a EXP de Cartão.
ITEM_20150918_006284	Caixa de Papelão
ITEM_20150918_006285	Use em casos de necessidade.
ITEM_20150918_006286	História da arqueira e um confeccionador de flechas lendários. Pode-se ler o conteúdo.
ITEM_20150918_006287	Lendas de Fedimian. Pode-se ler o conteúdo.
ITEM_20150918_006288	Não há alvo invisível para um arqueiro treinado! Pode-se ler o conteúdo.
ITEM_20150918_006289	Técnicas do uso de ferramentas ensinadas por Lydia Schaffen aos seus aprendizes. Pode-se ler o conteúdo.
ITEM_20150918_006290	Desafios enfrentados e superados por Lydia Schaffen. Pode-se ler o conteúdo.
ITEM_20150918_006291	Leitura obrigatória para Vinculadores: Encontrar o Ponto Principal do Ego. Pode-se ler o conteúdo.
ITEM_20150918_006292	Pesquisa sobre as armaduras usadas no governo do Rei Kadumel. Pode-se ler o conteúdo.
ITEM_20150918_006293	Lendas das Terras de Klaipedan. Pode-se ler o conteúdo.
ITEM_20150918_006294	Página rasgada do diário de um morador que costumava viver na cidade Andale. Pode-se ler o conteúdo.
ITEM_20150918_006295	Diário de um aventureiro desconhecido que estava explorando a mansão da família Legwyn. Pode-se ler o conteúdo.
ITEM_20150918_006296	Resposta de Beikeol. Pode-se ler o conteúdo.
ITEM_20150918_006297	Declaração para alguém da família Legwyn que pediu algo. É sobre um remédio que tem um efeito colateral perigoso. Pode-se ler o conteúdo.
ITEM_20150918_006298	Um diário sujo descoberto na Área da Ponte do Aqueduto. O nome do dono está ilegível. Pode-se ler o conteúdo.
ITEM_20150918_006299	Em estado tão precário que parece que vai esfarelar com qualquer toque. Pode-se ler o conteúdo.
ITEM_20150918_006300	Nota escrita por um peregrino muito tempo atrás. Pode-se ler o conteúdo.
ITEM_20150918_006301	Parece que um peregrino deixou aí como último recurso. Pode-se ler o conteúdo.
ITEM_20150918_006302	Parte do diário rasgado de um peregrino. Pode-se ler o conteúdo.
ITEM_20150918_006303	Registro escrito às pressas por um peregrino. Pode-se ler o conteúdo.
ITEM_20150918_006304	Testamento escrito por um peregrino ao morrer. Pode-se ler o conteúdo.
ITEM_20150918_006305	Diário queimado deixado por peregrinos. Pode-se ler o conteúdo.
ITEM_20150918_006306	Algum tipo de diário perdido. Pode-se ler o conteúdo.
ITEM_20150918_006307	Parece ser um diário escrito por alguém furioso. Olhe com cuidado, pode-se ler o conteúdo.
ITEM_20150918_006308	O diário de alguém encontrado em um lugar onde humanos não podem entrar. Leia o conteúdo.
ITEM_20150918_006309	Ordem dada por Vakarine. Leia o conteúdo.
ITEM_20150918_006310	Ordem escrita e fixada aqui há muito tempo. Pode-se ler o conteúdo.
ITEM_20150918_006311	Documento escrito na época do Grande Rei Zachariel. Pode-se ler o conteúdo.
ITEM_20150918_006312	Alertas de centenas de anos atrás. Leia o conteúdo.
ITEM_20150918_006313	Mensagem amassada. Mal se pode ler o conteúdo.
ITEM_20150918_006314	Dados da pesquisa concluída de Varkis. Contém informações sobre o Mausoléu Real. Pode-se ler o conteúdo.
ITEM_20150918_006315	Anotações escritas por Hones e o professor Liars. Dizem que contém informações muito importantes.
ITEM_20150918_006316	Joia que teleporta você instantaneamente para um local salvo. {nl}Recarga: 15 minutos
ITEM_20150918_006317	$Pedra que transportará você para Klaipeda. {nl}Clique com o botão direito para usar. {nl}Recarga: 20 minutos
ITEM_20150918_006318	Catalisador mágico usado por Bokor. Confeccionado pelo próprio Bokor para obter um melhor efeito da magia espiritual.
ITEM_20150918_006319	Um velho pergaminho escondido pelo Piromante. Pode-se ler o conteúdo.
ITEM_20150918_006320	Bolsa que parece ter pertencido a um mensageiro. Contém alguns relatórios e suprimentos.
ITEM_20150918_006321	Os restos mortais de um soldado assassinado por um monstro. {nl}A pessoa está irreconhecível.
ITEM_20150918_006322	Um tufo de musgo coletado para pesquisar anormalidades. Pode-se descobrir muita coisa ao pesquisá-lo.
ITEM_20150918_006323	Presume-se que o descoloramento da grama seja causado por influência de Demônios.
ITEM_20150918_006324	Casca de árvore horripilante que teve sua forma original modificada. Presume-se que sua mudança ocorreu por influência de Demônios.
ITEM_20150918_006325	Relatório de Blag. Contém informações de reconhecimento da área ao redor. Pode-se ler o conteúdo.
ITEM_20150918_006326	Relatório de York. Contém informações sobre o atual aumento de atividades de monstros. Entregue ao Tenente Volda. Pode-se ler o conteúdo.
ITEM_20150918_006327	Bolsa de ervas do Vubbe. Bastante rudimentar, mas eficiente.
ITEM_20150918_006328	Roubos acumulados pelos Vubbes. Quanto à partilha?
ITEM_20150918_006329	Suprimentos saqueados e acumulados pelos Vubbes. Você pode ver que alguns foram usados.
ITEM_20150918_006330	Enfeites de penas nas flechas dos Vubbes. Útil na pesquisa de monstros.
ITEM_20150918_006331	Relatório escrito por Moody. Descreve o ataque dos monstros.
ITEM_20150918_006332	Pedaço de asa da Escultura de Coruja Diligente. {nl}Está imbuída do poder sagrado.
ITEM_20150918_006333	Pedaço de asa do amigo da Escultura de Coruja Apavorante. Torna-se um pedaço de madeira comum.
ITEM_20150918_006334	Minério de pedra preciosa sem polimento. A joia dentro da pedra também é opaca porque ainda não foi polida.
ITEM_20150918_006335	Soro obtido do sangue de Vubbe. Solicitado ao oficial por Vaidotas.
ITEM_20150918_006336	Um pedaço de cristal especial. Material necessário para Vaidotas.
ITEM_20150918_006337	Soro obtido do sangue de Vubbe morto.
ITEM_20150918_006338	Chave para abrir o lacre do Mausoléu Real.
ITEM_20150918_006339	Mapa que indica a localização de alguma coisa. {nl}Talvez um tesouro?
ITEM_20150918_006340	Diário com as anotações feitas por Varkis durante sua vida. Parece que ele tinha bastante apreço por elas. Pode-se ler o conteúdo.
ITEM_20150918_006341	Material para fazer um memorial que lembre os mortos nessa área.
ITEM_20150918_006342	Um kit com cinzel, martelo, corda e outras coisas.
ITEM_20150918_006343	Um memorial com os nomes dos mortos nessa área.
ITEM_20150918_006344	Dispositivo que procura os espíritos malignos que absorvem a energia dos soldados.
ITEM_20150918_006345	Pequeno pedaço de rocha que se partiu de um pilar de pedra. Não se sabe bem para que serve, mas parece ser caro.
ITEM_20150918_006346	Pó refinado obtido da superfície de um pilar de pedra. Seu uso é incerto.
ITEM_20150918_006347	Pedaço pequeno de uma pedra encontrada no estômago do monstro. Parece ser parte de uma das relíquias da vítima.
ITEM_20150918_006348	Pergaminho que abre uma distorção no espaço. Com isso, é possível obter a chave que pertencia ao Grande Rei Zachariel.
ITEM_20150918_006349	Chave usada para abrir o lacre do Grande Rei Zachariel.
ITEM_20150918_006350	Uma das tarefas exigidas pelo Mestre Hoplita. Parece ser extremamente resistente.
ITEM_20150918_006351	Uma das tarefas exigidas pelo Mestre Hoplita. Seria uma fatalidade se cortar com isso.
ITEM_20150918_006352	Uma das tarefas exigidas pelo Mestre Hoplita. Você pode espalhar com um simples sopro.
ITEM_20150918_006353	Material necessário para a pesquisa do Mestre Psiônico.
ITEM_20150918_006354	Poção feita pelo Mestre Psiônico. Contém o estame de Matsum. Parece um pouco perigosa.
ITEM_20150918_006355	Material necessário para o teste do Mestre Vinculador. Por que precisa disso?
ITEM_20150918_006356	O Mestre Sapador pediu para devolver esses itens ao dono original. Será que ele os roubou?
ITEM_20150918_006357	Couro solicitado pelo Mestre Besteiro. Parece que será usado para confeccionar armaduras.
ITEM_20150918_006358	Pedra gigante usada como reposição na Muralha do Castelo de Klaipeda. Agora, como mover isso...
ITEM_20150918_006359	Não se sabe o que tem dentro, mas cheira mal.
ITEM_20150918_006360	O material para esculpir que Tesla tanto queria. Parece ser bastante resistente.
ITEM_20150918_006361	Pote que absorve a essência do fogo dos monstros por perto.
ITEM_20150918_006362	Itens para usar como oferendas na Estátua da Deusa.
ITEM_20150918_006363	Água benta usada para expulsar espíritos malignos. Uma água totalmente pura.
ITEM_20150918_006364	Material necessário para a pesquisa do Mestre Mago.
ITEM_20150918_006365	Pergaminho para pesquisar o fenômeno paranormal em Klaipeda.
ITEM_20150918_006366	Água benta usada para tratar doentes. Tem um efeito regenerativo.
ITEM_20150918_006367	Água benta usada para tratar doentes. Tem um efeito desinfetante.
ITEM_20150918_006368	Água benta usada para tratar doentes. Tem um efeito revitalizador.
ITEM_20150918_006369	Essência demoníaca solicitada pelo Mestre Psiônico. Emana uma sinistra aura maligna.
ITEM_20150918_006370	Essência demoníaca solicitada pelo Mestre Psiônico. Se olhar por muito tempo, pode acabar possuído.
ITEM_20150918_006371	Pode ser o mapa que indica o local do Manual Secreto do Flecheiro. Por que o Mestre Besteiro iria querer ...?
ITEM_20150918_006372	Desconfia-se que seja um pedaço de tecido de Evonipon.
ITEM_20150918_006373	Material necessário para as experiências do Mestre Sapador. Queima facilmente.
ITEM_20150918_006374	Bomba experimental criada pelo Mestre Sapador. {nl}A distância de alcance pode ser controlada mantendo pressionada a chave.
ITEM_20150918_006375	Roupas que parecem ter sido do pai do Comerciante de Ferramentas de Klaipeda. Tem a costura de um bordado delicado.
ITEM_20150918_006376	Caixa com iguarias apreciadas pelos gatos de rua. Serve para pegar gatos de rua. Tem cheiro de peixe.
ITEM_20150918_006377	Espírito do fogo guardado em um porte.
ITEM_20150918_006378	Material solicitado pelo Mestre Criomante como pagamento alternativo por suas aulas. 
ITEM_20150918_006379	Material solicitado pelo Mestre Criomante como pagamento alternativo por suas aulas. Terá alguma utilidade para um Criomante?
ITEM_20150918_006380	Um pedaço rígido e resistente da parte interna do Cone de Fogo. Material necessário para o Mestre Mago.
ITEM_20150918_006381	Escama macia encontrada embaixo da escama externa mais rígida de Drake. Material necessário para o Mestre Mago.
ITEM_20150918_006382	Pergaminho que compara os fenômenos em Fedimian e Klaipeda.
ITEM_20150918_006383	Você pode obter um objeto escondido no 3o Andar.
ITEM_20150918_006384	Pedaço de algo que cheira terrivelmente mal. Dá para ver de relance um objeto circular dentro.
ITEM_20150918_006385	Um galho totalmente seco. Tem vários espinhos minúsculos.
ITEM_20150918_006386	Informações detalhadas sobre as próximas operações junto com um mapa. Pode-se ler o conteúdo.
ITEM_20150918_006387	Ingrediente para confeccionar fragmentos de memória. {nl}É muito denso.
ITEM_20150918_006388	Relatório de reconhecimento da Floresta da Bandeira Crepuscular. {nl}Os rabiscos escritos passam uma sensação assustadora. Pode-se ler o conteúdo, mas...
ITEM_20150918_006389	Um frasco de água que foi escondido pelo Oficial de Suprimentos. {nl}Tem cheiro de coisa velha e mofada.
ITEM_20150918_006390	Material indispensável para capturar Gaigalas. {nl}Cheira a bolor.
ITEM_20150918_006391	Material indispensável para capturar Gaigalas. Tem muito musgo.
ITEM_20150918_006392	Artigos de ouro, o material favorito do Líquenclope. Tediosamente coletados.
ITEM_20150918_006393	Contém itens para ajudar nas explorações como canetas, papéis, ferramentas de escavação e alguns alimentos.
ITEM_20150918_006394	Erva usada para tratar doenças neurológicas.
ITEM_20150918_006395	Dossiê com os dados da pesquisa do Mausoléu Real. Pode-se ler o conteúdo.
ITEM_20150918_006396	Arquivo com as informações da pesquisa no Mausoléu Real. Foi feito em pedaços.
ITEM_20150918_006397	Arquivo ao qual Jonas devotou sua vida para realizar. Pode-se ler o conteúdo.
ITEM_20150918_006398	Davio conseguiu esse remédio para Jonas. Muito eficiente no tratamento da velhice.
ITEM_20150918_006399	Recarrega seu HP quando um monstro é derrotado dentro do círculo mágico.
ITEM_20150918_006400	Explosivo para bloquear a Passagem Secreta do Invasor Vubbe.
ITEM_20150918_006401	Um pedaço de homem-árvore que, às vezes, balança de forma assustadora.
ITEM_20150918_006402	Relatório do integrante da Unidade da Junta de Investigação, Scott sobre atividades suspeitas na região. Pode-se ler o conteúdo.
ITEM_20150918_006403	Um pergaminho que permite pegar espíritos. Apenas aproveitável em alguns monstros.
ITEM_20150918_006404	Orbe que contém o espírito do Atirador Vubbe Vermelho.
ITEM_20150918_006405	Pedaço da parte superior da Escultura de Coruja. {nl}Infelizmente, não há como restaurar.
ITEM_20150918_006406	Pedaço da parte inferior da Escultura de Coruja. {nl}Praticamente irreconhecível.
ITEM_20150918_006407	Pedaço do pedestal da Escultura de Coruja. {nl}Está prestes a quebrar ao meio.
ITEM_20150918_006408	Um óleo especial para queimar a Escultura de Coruja que desafortunadamente quebrou.
ITEM_20150918_006409	Caixa com uma pequena quantidade de grãos. A caixa foi estraçalhada.
ITEM_20150918_006410	Bolsa com um remédio raro. Quando os Vubbes o tomam se tornam valentes, mas quando ingerido pelos humanos causa forte dor de estômago.
ITEM_20150918_006411	Lente de telescópio usada na Torre Astral.
ITEM_20150918_006412	Amostra do veneno de morcegos.
ITEM_20150918_006413	Uma pedra usada pelo Javalomem. Atrai monstros.
ITEM_20150918_006414	Pridca acredita que esse amuleto seja a chave para os segredos das ruínas.
ITEM_20150918_006415	Suprimentos da unidade de que Lindt faz parte. Um Wendigo fugiu com isso.
ITEM_20150918_006416	Uma erva ideal para dor de cabeça.
ITEM_20150918_006417	Dizem que essa pedra atrai Saugas. Será verdade?
ITEM_20150918_006418	Pedaço de uma relíquia engolida pelo Denótico. Um monstro que se alimenta de pedras, interessante.
ITEM_20150918_006419	Uma bolsa com moedas para efetuar um pagamento. O Ladrão de Túmulos Kujang pediu para você entregar isso ao Ladrão de Túmulos Bushobell.
ITEM_20150918_006420	Tesouro das vítimas humanas que foi acumulado pelo monstro.
ITEM_20150918_006421	$Pertences de um soldado roubados por Bicho-Folha. {nl}Parece que já foram roubados antes.
ITEM_20150918_006422	Um pedaço de tecido rasgado de Vubbe. É a área manchada da cintura.
ITEM_20150918_006423	Parece que você pode usar isso em algum lugar se juntar bastante unhas do pé de Vubbe.
ITEM_20150918_006424	Itens usados como provisões de emergência na Vila dos Mineradores.
ITEM_20150918_006425	Material necessário para reforçar a parede externa da mina. Pegue antes da parede desmoronar.
ITEM_20150918_006426	Vara usada para expulsar a Sequoia. Contém alguns espíritos sagrados.
ITEM_20150918_006427	Ingrediente para a ferramenta que expulsa a Sequoia bloqueadora de passagem. Você pode sentir de leve o poder sagrado.
ITEM_20150918_006428	Essência do guerreiro. Necessária para dar uma ótima ferroada na Sequoia.
ITEM_20150918_006429	Essa vara é uma melhoria da Vara de Espetar. É capaz de subjugar a Sequoia.
ITEM_20150918_006430	As larvas da Medusa estão corroendo as memórias da vida. Elas brilham.
ITEM_20150918_006431	A embalagem de um comerciante morto. Seu espírito é obcecado por ela.
ITEM_20150918_006432	Um pergaminho de proteção. Parece que o espírito do estudioso foi vencido antes de usá-lo.
ITEM_20150918_006433	Uma cópia do monumento que a exploradora estava procurando.
ITEM_20150918_006434	Essa vara é uma melhoria da Vara Espiritual. Possui o rancor das Esculturas de Coruja.
ITEM_20150918_006435	Lembrança de um soldado morto por monstros. Parece que conforta as almas dos soldados assassinados.
ITEM_20150918_006436	Esse cheiro me lembra a minha cidade natal. {nl}Sinto saudades de casa.
ITEM_20150918_006437	Folha de Ridimed de aroma bizarro.
ITEM_20150918_006438	Um líquido de cheiro estranho escorre dela.
ITEM_20150918_006439	Uma armadilha de monstro usada para concluir a última missão dos soldados mortos.
ITEM_20150918_006440	Vamos testar em um monstro para conferir se funciona.
ITEM_20150918_006441	Pele de Velho Kepa. Cai pó dela ao sacudir.
ITEM_20150918_006442	É necessário preparar uma armadilha mais convincente. Essa armadilha vai funcionar bem?
ITEM_20150918_006443	Cadáveres do esquadrão do Johan. Cuide bem deles.
ITEM_20150918_006444	O gancho que o soldado Roy precisa pegar. Ele pode retornar ao seu esquadrão assim que o pegar.
ITEM_20150918_006445	Partes estão cobertas de sangue, impossibilitando a leitura. Pode-se ler apenas algumas partes.
ITEM_20150918_006446	Material usado para consertar a carroça. Cortado da parte mais rígida do caule de um Hamming.
ITEM_20150918_006447	Fluido da glândula do Tiquinho. Dói ao tocar.
ITEM_20150918_006448	Herbicida feito da secreção do Tiquinho. Com isso, é possível eliminar um Arbusto Espinhoso.
ITEM_20150918_006449	Certificado entregue aos soldados que conseguiram terminar seu treinamento. Leia com orgulho.
ITEM_20150918_006450	As partes macias obtidas da Erva de Banana-da-terra. Tem gosto amargo quando mastigada.
ITEM_20150918_006451	Frasco de poção vazio roubado pelo Vubbe. Chega a brilhar de tão limpo.
ITEM_20150918_006452	Item que demonstra sua habilidade ao Mestre Espadachim. É o coração da Orca de Pedra
ITEM_20150918_006453	Unguento de Vubbe usado para tratar suas feridas. Impossível ser usado em sua forma natural.
ITEM_20150918_006454	Placa que ordenou aos Guardiões para atacarem coisas malignas. Eles estão atacando todo mundo porque a placa está quebrada.
ITEM_20150918_006455	Pedra que acende as lanternas de pedra. {nl}Embora seja ardente, não é muito quente.
ITEM_20150918_006456	O uso excessivo do inibidor pode provocar superaquecimento e quebra.
ITEM_20150918_006457	Uma marca dos Wheelens. Quem o possui obtém o poder para derrotar os inimigos.
ITEM_20150918_006458	$Diário que Coben pediu que fosse encontrado.
ITEM_20150918_006459	Pedaço de gordura extraída após derrotar a Cocatriz.
ITEM_20150918_006460	Carvão encontrado no Sacrovente.
ITEM_20150918_006461	Ao colocar esse jarro em um local, ele absorverá o poder mágico ao redor.
ITEM_20150918_006462	Pode ser a causa da doença.
ITEM_20150918_006463	Joia que absorve a força vital de um monstro derrotado perto dela.
ITEM_20150918_006464	Pergaminho necessário para abrir o lacre do Rei Zachariel. É o primeiro lacre.
ITEM_20150918_006465	Qualquer monstro que use habilidades de fogo tem uma origem. {nl}Usada para fazer Joias de Chama.
ITEM_20150918_006466	Facilita a procura por fogo, mas como Grita a conseguiu é um grande mistério.
ITEM_20150918_006467	Material de pesquisa roubado por monstros. Parece que os monstros adoram roubar documentos.
ITEM_20150918_006468	Cal usada para fazer falsificações.
ITEM_20150918_006469	Item falso que comprova a falsificação. {nl}Ainda está inacabado.
ITEM_20150918_006470	Pedaço de uma edificação com padrão bonito. Parece que o arquiteto se esforçou bastante para fazer.
ITEM_20150918_006471	Contém várias ferramentas, como uma vara de radiestesia para procurar túmulos subterrâneos.
ITEM_20150918_006472	Os Saugas guardam sua pilhagem em bolsas. {nl}Eles dividem o roubo por igual.
ITEM_20150918_006473	Um símbolo de aparência muito antiga de um Arqueologista.
ITEM_20150918_006474	O veneno altamente tóxico do Arvofungo. Libera o veneno pelo ar quando está com medo.
ITEM_20150918_006475	Uma bolsa com a mão de um monstro.
ITEM_20150918_006476	O sangue de Lagartomem é usado em experiências realizadas pelos Necromantes.
ITEM_20150918_006477	Um jarro entregue pelo necromante Drasyus. Ele absorverá monstros que estão à beira da morte.
ITEM_20150918_006478	Símbolo recebido por passar no teste preparado pelo Grande Rei Zachariel. Parece ter relação com o lacre do Mausoléu Real.
ITEM_20150918_006479	Espada com um pedaço faltando.
ITEM_20150918_006480	Essa relíquias podem ajudar a identificar os mortos.
ITEM_20150918_006481	Esse pedaço encaixa na Espada Lascada.
ITEM_20150918_006482	Madeira que Cahill pegou da pilha de madeira.
ITEM_20150918_006483	Couro que pode ser usado de várias maneiras. A condição do couro significa que pode ser usado imediatamente.
ITEM_20150918_006484	Uma carta com o coração de Moisés Diesel.
ITEM_20150918_006485	Moisés Diesel fez essas muletas para o jovem Cahill.
ITEM_20150918_006486	O primeiro material que Ahylas Jonas pediu para abrir o lacre.
ITEM_20150918_006487	Ingrediente para fazer uma Joia de Cristal.
ITEM_20150918_006488	Cristal necessário para abrir o lacre na Cordilheira de Ramstis.
ITEM_20150918_006489	Relatório de pesquisa perdido pelo pesquisador novato do Mausoléu Real. Alguém pisou em cima e borrou a escrita. Mal pode ser lido.
ITEM_20150918_006490	Pode alguém, eventualmente, encontrar o local da herança do Grande Rei Zachariel?
ITEM_20150918_006491	Antídoto que neutraliza o veneno de um escorpião. Vamos entregar isso a Dezic.
ITEM_20150918_006492	Parece que explode ao tocar. Tome cuidado.
ITEM_20150918_006493	Carne obtida do abate de Infraburk. Parece ser dura.
ITEM_20150918_006494	Pelo jeito, para usar como lenha.
ITEM_20150918_006495	Pedaço da lápide de Lydia Schaffen recuperado de Golens do Cemitério e Guri.
ITEM_20150918_006496	Pedaço de uma lápide quebrada encontrada por uma Tartaruga Marinha. Você precisa juntar os pedaços de lápide para ver de quem é. 
ITEM_20150918_006497	Finalmente, a lápide foi restaurada. O que tem nela?
ITEM_20150918_006498	Pedaço da lápide de Flurry que um Owo pegou e comeu.
ITEM_20150918_006499	Bolsa com bugigangas.
ITEM_20150918_006500	Pó mágico de carvão que faz a tinta grudar no pergaminho.
ITEM_20150918_006501	Material necessário para abrir manualmente o que foi lacrado. Não desgasta, não importa o quanto tente.
ITEM_20150918_006502	A Arca Sagrada que guarda as almas está quebrada. Recolher seus pedaços será o suficiente?
ITEM_20150918_006503	Um cristal pequeno de monstro que Suspicious Chair pediu para pegar. Embora seja difícil chamar isso de cristal.
ITEM_20150918_006504	A voz da alma presa na Pedra Lacrada. Você pode ouvir seu tênue murmúrio.
ITEM_20150918_006505	Cristal imbuído de magia para evitar que a alma lacrada escape.
ITEM_20150918_006506	Substância que a Maga de Variação, Estranha Peluda, pediu para pegar.
ITEM_20150918_006507	Um cristal que foi queimado por descuido.
ITEM_20150918_006508	Um encantamento queimado. Como estava no estômago do monstro, está molhado e fede.
ITEM_20150918_006509	Corante usado para as tatuagens de Simon Shaw. É relativamente fácil de conseguir.
ITEM_20150918_006510	Pergaminho entregue a você por Cordelier. Embora tenha sido escrito com pó de carvão, é difícil de ler porque está envelhecido.
ITEM_20150918_006511	A fonte de energia que move o Infrapedraruga Vermelho. Grita, que não pode usar magia, precisa disso.
ITEM_20150918_006512	Necessário para estabilizar a Joia da Proeminência.
ITEM_20150918_006513	Contém instruções sobre como eliminar as videiras espinhosas. Leia com atenção.
ITEM_20150918_006514	Cristal necessário para remover videiras espinhosas pelo poder sagrado. Precisa ser carregado e refinado para usar.
ITEM_20150918_006515	Os restos mortais de Bola-Espinho. Queimam bem, mesmo na chuva.
ITEM_20150918_006516	Líquido de cheiro azedo que escorre da unha do pé.
ITEM_20150918_006517	Líquido útil para remover o Mini Griba que se tornou parasita no pelo de Greepelli.
ITEM_20150918_006518	Adele aprecia esse anel. Vamos devolver para Adele.
ITEM_20150918_006519	Uma solução ácida forte que pode derreter videiras espinhosas.
ITEM_20150918_006520	Saliva do Operor que tem o poder de purificar cristais mágicos corrompidos.
ITEM_20150918_006521	Um cristal totalmente purificado. Pode remover as vinhas espinhosas do caminho.
ITEM_20150918_006522	Seiva demasiadamente volátil. Essencial para queimar videiras espinhosas úmidas.
ITEM_20150918_006523	Remédio eficiente para restaurar a mente.
ITEM_20150918_006524	Um cristal obtido ao derrotar Corylus. Usado para fazer um cristal de luz.
ITEM_20150918_006525	Cristal com energia o bastante para ativar o encantamento do submundo.
ITEM_20150918_006526	Mapa que mostra a Floresta de Sirdgela. Há sinalizações espalhadas pelo mapa.
ITEM_20150918_006527	Pólen usado para exorcizar espíritos malignos.
ITEM_20150918_006528	Fecho usado para travar o cabo da alavanca do bondinho.
ITEM_20150918_006529	Peça metálica circular que foi roubada por monstros. Certamente, é uma peça do bondinho.
ITEM_20150918_006530	Beterrabas deliciosas que são uma especialidade do Planalto. O animais jovens as adoram.
ITEM_20150918_006531	Peças obtidas nas cercanias do bondinho quebrado.
ITEM_20150918_006532	Ótimo remédio para quando o ar fica contaminado e nebuloso.
ITEM_20150918_006533	A resina do Fragaras é um material eficiente de exorcismo.
ITEM_20150918_006534	Cordões cerimoniais usados pelo Mágico Panto.
ITEM_20150918_006535	Juba da nuca de Cogucaria derrotado.
ITEM_20150918_006536	Escritura lendária usada para derrotar Gesti. Parece que não é o momento de usar.
ITEM_20150918_006537	Escritura lendária usada para derrotar Gesti. Precisa ser recarregada antes de usar.
ITEM_20150918_006538	Escritura lendária que será usada para derrotar Gesti. Você já pode usar.
ITEM_20150918_006539	Catalisador que contém um Boneco Vodu. Ativa o Boneco Vodu quando usado.
ITEM_20150918_006540	Falsificações entregues a você por Kevin. Ainda estão inacabadas.
ITEM_20150918_006541	Diminui a força do monstro ao usar nele.
ITEM_20150918_006542	Fragmento do altar no 2o Andar da Igreja.
ITEM_20150918_006543	Ao usar, os Demônios não conseguem ver você por 10 segundos. O efeito de invisibilidade passa se você for atacado ou ferido.
ITEM_20150918_006544	Ao usar, um Espírito Divino aparece e provoca os Demônios por perto.
ITEM_20150918_006545	Uma chave especial para encontrar revelações e locais secretos.
ITEM_20150918_006546	Provoca o efeito de despertar ao misturar com o Tônico de Pó de Flor Espinhosa.
ITEM_20150918_006547	Seu efeito é melhor do que o Pó de Flor Espinhosa.
ITEM_20150918_006548	Provoca o efeito de despertar ao misturar com o Cuspe de Merog.
ITEM_20150918_006549	Material solicitado pelo Mestre Elementalista para provar a sua qualificação.
ITEM_20150918_006550	Recipiente para guardar água encantada com poder espiritual.
ITEM_20150918_006551	O inimigo que morre com esse amuleto deveria ficar sob nosso controle, mas... Parece um pouco desgastado.
ITEM_20150918_006552	Jarro com a energia mágica que flui pelo Mausoléu Real.
ITEM_20150918_006553	Ingrediente necessário para redecorar o Obelisco. Tem uma acidez elevada.
ITEM_20150918_006554	Pó que pode atordoar o Milho Negro no Desfiladeiro Vieta.
ITEM_20150918_006555	Ingrediente necessário para a tinta usada na pintura de inscrições do Obelisco. É de cor negra.
ITEM_20150918_006556	Ingrediente necessário para redecorar o Obelisco. {nl}É pegajoso.
ITEM_20150918_006557	Pergaminho usado para marcar o símbolo divino de um Paladino nos Demônios.
ITEM_20150918_006558	As energias sagradas do Templo permanecem imbuídas.
ITEM_20150918_006559	Chave para libertar a Deusa Saule do confinamento demoníaco.
ITEM_20150918_006560	Bálsamo usado para consertar a Estátua da Deusa. Tem um aroma incomum, mas agradável.
ITEM_20150918_006561	Bálsamo usado para consertar a Estátua da Deusa. Tem um aroma incomum, mas agradável.
ITEM_20150918_006562	Tem um efeito considerável.
ITEM_20150918_006563	Autorização necessária para os navios poderem atracar no porto. Pode-se ler o conteúdo.
ITEM_20150918_006564	Mapa necessário para navegar. Descreve as correntes marítimas e direção do vento.
ITEM_20150918_006565	Que tipo de contrato é esse?
ITEM_20150918_006566	Amostra de secreção extraída de Moya.
ITEM_20150918_006567	Amostra de flecha criada pelo Mestre Flecheiro. Tem boa precisão.
ITEM_20150918_006568	Madeira de interesse do Mestre Flecheiro. Produz um timbre agradável ao bater nela.
ITEM_20150918_006569	Vara de pescar de madeira valiosa do Pescador, da qual se pode ouvir um assobio. Confira ao abrir.
ITEM_20150918_006570	Tubo que dispara um dardo de neurotoxina.
ITEM_20150918_006571	Veneno especial feito da secreção de Stoulet. Apenas reage com o dardo de neurotoxina disparado pelo Tubo Simples.
ITEM_20150918_006572	Táticas fáceis desenvolvidas para Centuriões principiantes, mas é preciso treinar para não esquecê-las.
ITEM_20150918_006573	Sinalizador muito usado por Patrulheiros para localizar monstros escondidos.
ITEM_20150918_006574	Gravura de Lydia Schaffen solicitada pelo Mestre Besteiro pra treino de arco e flecha.
ITEM_20150918_006575	Joia que contém uma poderosa maldição. Parece que chama continuamente por alguém.
ITEM_20150918_006576	Jarro de fogo obtido da Cauleposa. De grande valor para a Cauleposa.
ITEM_20150918_006577	Osso de Pescador Azul, difícil de pegar de tão pequeno que é.
ITEM_20150918_006578	Tem um aspecto horrível.
ITEM_20150918_006579	Bico de uma Harpia, que é muito afiado.
ITEM_20150918_006580	Ajuda a escapar facilmente dos inimigos durante um confronto. Bum!
ITEM_20150918_006581	Corda com um nó atado nela. Serve para laçar inimigos.
ITEM_20150918_006582	Carta de apresentação escrita pelo Mestre Sapador para o Mestre Montanhês.
ITEM_20150918_006583	Confirmação do Mestre Montanhês de que você atendeu a todos os requisitos necessários para avançar.
ITEM_20150918_006584	Cristal com a habilidade do Tanu de purificação.
