QUEST_20150317_000001	Por favor, selecione o usuario que precisa de uma atualizacao de quest.	퀘스트 수정이 필요한 유저를 선택해주세요.				GM
QUEST_20190419_010838	{#003399}Tip 2{/}{nl}If you select the {#003399}reset items{/}, you receive all the items once per eligible character.{nl}{#FF0000}However, tree base classes receive additional items.	{#003399}Tip 2{/}{nl}{#003399}아이템으로 지원 받는다{/}  선택 시{nl}- 지원 아이템 총 1회 지급{nl}{#FF0000}단, 각 계열 기초 클래스의 경우 별도로 추가 지급합니다				초기화 지원 도우미
QUEST_20190419_010839	This character has already received compensation.{nl}You can receive the items once per eligible character only.	이미 지원 받은 캐릭터 입니다.{nl}더 이상 지원받을 수 없습니다.				초기화 지원 도우미
QUEST_20190419_010840	Select the location to enter.	진입할 위치를 선택해주세요				큐폴 카제
QUEST_20190419_010841	You cannot enter due to your {#FF0000}Mark: Familiar Foe{/}.	구원자님은 {#FF0000}표식 : 동족의 원수{/} 때문에 진입하실 수 없습니다.				큐폴 카제
QUEST_20190419_010842	Growth is certainly valuable in itself, but a little reward never hurt anyone. Bring me your {#003399}[Episode11] Growth Gems{/} and you, too, will understand.{nl}*{#003399}[Episode11] Growth Gems{/} can be obtained from Uska's event and the Growing Evergreen event.{nl}* New and Returning Saviors will be able to obtain {#003399}twice{/}the number of items from the exchange shop.	성장은 그 자체로 가치있는 일이지만, 보상이 따른다면 더욱 좋겠지요. {#003399}[Episode11] 성장의 보석{/}을 가져오시면, 이 말을 확인하실 수 있으실겁니다.{nl}*{#003399}[Episode11] 성장의 보석{/}은 우스카의 성장 지원 이벤트와 자라나라 나무나무 특별한 선물 이벤트에서 획득하실 수 있습니다.{nl}*신규 및 복귀 구원자님께는 상점에서 교환한 아이템을 {#003399}2배 지급{/} 해드립니다.				기사단장 우스카
QUEST_20190419_010843	Have you collected the {#003399}[Episode11] Adventure Sprouts{/}? Let me get you something in exchange for those. Just remember, no reward is more valuable than the time spent with your trusty allies.	{#003399}[Episode11] 탐험의 새싹{/}을 모아오셨습니까? 준비한 보상과 교환해드리겠습니다. 오늘 만나신 동료와 함께한 추억보다 값진 것은 없겠지만 말입니다.				기사단장 우스카
QUEST_20190419_010844	We've got a few special prizes ready to celebrate the arrival of the new Archer classes {#003399}Tiger Hunter{/} and {#003399}Matross{/}, and the new Scout classes {#003399}Ardito{/} and {#003399}Sheriff{/}. You only need to exchange them for {#003399}[Episode11] Adventure Sprouts{/}.	새로운 아처 클래스인 {#003399}산포{/}와 {#003399}매트로스{/}, 스카우트 클래스인 {#003399}아르디티{/}와 {#003399}셰리프{/}가 등장한 것을 기념하기 위해 특별한 보상을 마련했습니다. 보상은 {#003399}[Episode11] 탐험의 새싹{/}으로 교환하실 수 있습니다.				기사단장 우스카
QUEST_20190419_010845	* {#003399}[Episode11] Adventure Sprouts{/} can be obtained by:{nl}1. Clearing the following under the {#003399}[Budding Sprout]{/} or the {#003399}[Growing Together]{/} buffs{nl}- {#003399}Level dungeons{/}, {#003399}Mercenary Post and Saalus missions{/}, {#003399}Unique raids{/}, {#003399}Earth Tower{/}, {#003399}Velcoffer's Nest{/}, {#003399}Uphill Defense{/}, {#003399}Challenge Mode Stage 5+{/}{nl}2. Defeating monsters within your level range{nl}3. Joining the {#003399}Growing Evergreen event{/}	*{#003399}[Episode11] 탐험의 새싹{/}은 다음 경로로 획득하실 수 있습니다.{nl}1. {#003399}[자라나는 새싹]{/} 혹은 {#003399}[새싹과 함께한]{/} 버프를 지닌 상태에서 다음 콘텐츠 클리어{nl}- {#003399}레벨 던전{/}, {#003399}의뢰소 및 살러스 미션{/}, {#003399}유니크 레이드{/}, {#003399}대지의 탑{/}, {#003399}벨코퍼의 둥지{/}, {#003399}업힐 디펜스{/}, {#003399}챌린지 모드 5단계 이상{/}{nl}2. 자신의 레벨대 몬스터를 처치 시 일정 확률로 획득{nl}3. {#003399}자라나라 나무나무 특별한 선물 이벤트{/}로 획득				기사단장 우스카
QUEST_20190419_010846	We are supporting Saviors who have advanced into classes affected by balance changes.{nl}	변경된 밸런스에 맞춰 구원자님을 지원해드리고 있습니다.				초기화 지원 도우미
QUEST_20190419_010847	Thank you.{nl}I'm glad you were here to help protect the Divine Torch.{nl}	감사합니다.{nl}계시자님 덕분에 신성의 횃불을 지켜낼 수 있었어요.{nl}				수녀 라사
QUEST_20190419_010848	We would like to give you this, on behalf of everyone at the convent.{nl}It isn't much, but we hope you will find it useful.{nl}	이건 수녀원에서 감사의 의미로 드리는 답례에요.{nl}저희가 드릴 수 있는 게 이것뿐이라서 죄송하지만, 부디 도움이 될 수 있음 좋겠네요.{nl}				수녀 라사
QUEST_20190419_010849	Once again, thank you.{nl}Do come back and help us whenever you can.	다시 한 번, 정말로 감사합니다.{nl}괜찮으시다면 다음에도 부탁드려요.				수녀 라사
QUEST_20190419_010850	Banterer	밴터러				
QUEST_20190419_010851	I'm the one in charge around here... This ain't your area, is it...?	이 주변은 내가 담당하고 있는 구역이다.. 네녀석의 구역은 여기가 아니지 않느냐..				밴터러
QUEST_20190419_010852	Huh? You forgot...?{nl}Hold on... I don't think I've seen you before...{nl}	뭐? 그걸 까먹다니..{nl}가만, 너.. 처음 보는 녀석 같은데..{nl}				밴터러
QUEST_20190419_010853	Let me just ask you one question.{nl}What's the name of the human we support?	너에게 한 가지를 물어보겠다.{nl}우리는 어떤 인간과 손을 잡았지?				밴터러
QUEST_20190419_010854	Let me just ask you one question.{nl}What's the name of our demon monarch?	너에게 한 가지를 물어보겠다.{nl}우리가 모시는 마왕님은 누구지?				밴터러
QUEST_20190419_010855	Let me just ask you one question.{nl}What's the reason we're stationed here?	너에게 한 가지를 물어보겠다.{nl}우리가 이곳에 있는 이유는 무엇일까.				밴터러
QUEST_20190419_010856	Let me just ask you one question.{nl}Who's the subordinate we manage but who isn't stationed here?	너에게 한 가지를 물어보겠다.{nl}우리는 이곳에 다른 부하들을 관리하고 있지. 이곳에 없는 부하는 누구지?				밴터러
QUEST_20190419_010857	Let me just ask you one question.{nl}Who's our enemy?	너에게 한 가지를 물어보겠다.{nl}우리의 적은 누구지?				밴터러
QUEST_20190419_010858	Huh... My mistake.{nl}Alright, here's what's gonna happen.{nl}	흠.. 착각이었나 보군.{nl}그래, 이야기해주지.{nl}				밴터러
QUEST_20190419_010859	When the Resistance go inside the Astral Tower, we're gonna attack them here.{nl}Got it? Then go back to your position.	저항군 녀석들이 별의 탑에 들어가는 동안, 이곳을 기습할 예정이다.{nl}알겠으면 네 구역으로 돌아가라.				밴터러
QUEST_20190419_010860	The attack's gonna happen after sunset, when the moon is over the trees.{nl}Got it? Then go back to your position.	공격 시기는 해가 지고 달이 나무에 오를 때의 시간에 실시한다.{nl}알겠으면 네 구역으로 돌아가라.				밴터러
QUEST_20190419_010861	This time we're gonna go all out on them when they least expect.{nl}Got it? Then go back to your position.	이번 공격은 방심한 틈을 노려 큰 피해를 주도록 총공격이 될 것이다.{nl}알겠으면 네 구역으로 돌아가라.				밴터러
QUEST_20190419_010862	Our general Banshee Boss is gonna join us in the attack this time.{nl}Got it? Then go back to your position.	이번 공격에는 공격 대장이신 밴시보스님께서 직접 나선다고 하셨다.{nl}알겠으면 네 구역으로 돌아가라.				밴터러
QUEST_20190419_010863	If our attack works, we're gonna destroy not just the Resistance, but the entire Schaffenstar with it!{nl}Got it? Then go back to your position.	이번 공격이 성공하면 별의 탑으로 직격해 저항군 말고도 샤펜스타까지 모두 쓸어버릴 것이다.{nl}알겠으면 네 구역으로 돌아가라.				밴터러
QUEST_20190419_010864	Poor guy must have gone through a lot...{nl}Sad we didn't come to hear about it until now.{nl}	그 친구도 이래저래 고생이 많았을텐데..{nl}그런 일들이 있었는데 왜 지금껏 말을 안 했는지 안타깝군요.{nl}				저항군 부관 벤자미나스
QUEST_20190419_010865	I'll get ready to leave as soon as possible.{nl}I'm counting on you in the meantime.	최대한 빨리 준비해서 가겠습니다.{nl}그 동안만이라도 잘 부탁드립니다.				저항군 부관 벤자미나스
QUEST_20190419_010866	It's too early to give up!	아직 포기하기엔 이르네!				저항군 부관 벤자미나스
QUEST_20190419_010867	Not gonna lie, this feels like a trap...	아무래도 지금 입력한 답은 함정인 것 같다..				None
QUEST_20190419_010868	Select a Crystal Piece to place on the foothold.	발판에 놓을 수정 조각을 선택해 주십시오.				안내
QUEST_20190419_010869	Take the Crystal Piece placed on the foothold?	현재 발판 위에 놓은 수정 조각을 가져가시겠습니까?				안내
QUEST_20190419_010870	Thought you could get rid of it that easily, did you?{nl}Tsk, tsk... And you didn't even know about me? 	그렇게 쉽게 너희 마음대로 없앨 수 있다고 생각하는 건 아니겠지?{nl}섭섭한걸~, 이곳을 지키는 나의 존재는 몰랐나 보구나? 				???
QUEST_20190419_010871	Demon Lord Moringponia	마군주 모링포니아				
QUEST_20190419_010872	What, did you think I wouldn't notice all that racket?{nl}You're pretty brave for messing with our business... I don't suppose you're counting on getting away with it...?	그렇게 펑펑 터트리고 다니면 시끄러워서라도 눈치채지 않겠어?{nl}잘도 우리의 일을 방해하다니.. 무사히 넘어간다고 생각한 건 아니겠지?				마군주 모링포니아
QUEST_20190419_010873	Found a strange Crystal Piece.{nl}Try and find more.	이상한 수정 조각을 발견했다.{nl}혹시 모르니 더 찾아보자.				None
QUEST_20190419_010874	Found enough Crystal Pieces to place on the footholds.{nl}Return to the obelisk and place the Crystal Pieces on the footholds.	수정 조각이 발판의 개수만큼 다 모여졌다.{nl}이제 오벨리스크로 돌아가 이걸 발판에 놓아보자.				None
QUEST_20190419_010875	I'm glad to hear the Goddess Statue worked.{nl}But the evil energy hasn't completely disappeared yet.{nl}Where could it be spreading from...? I'll have to investigate some more.	제가 드렸던 여신상이 효과가 있어 다행이군요.{nl}하지만 그렇다고 사악한 기운은 완전히 사라지지 않은 듯 하군요.{nl}대체 그 기운은 어디서 퍼지는건지.. 나중에 조사를 해봐야겠습니다.				엑소시스트 마스터
QUEST_20190419_010876	Gotcha. Mwahahah!	드디어 찾았다. 크하하!				카르타스
QUEST_20190419_010877	Go! Go and catch them once and for all!	가라! 가서 도망치지 못하게 붙잡아둬라!				카르타스
QUEST_20190419_010878	Ah... Evil beings are headed our way.{nl}Kartas must have found us.{nl}	아.. 사악한 존재들이 이쪽으로 다가오고 있어요.{nl}아무래도 카르타스가 이곳을 눈치챈 것 같아요.{nl}				여신 메데이나
QUEST_20190419_010879	What's more, in this state we won't be able to fight him.{nl}I suppose... I could hide you and Illina away from Kartas' eyes.{nl}Please, come this way...	게다가 지금 상태로는 카르타스와 대적하기에는 무리에요.{nl}하지만.. 카르타스의 눈을 속여 계시자님과 일리나를 숨겨줄 수는 있겠네요.{nl}어서 제 쪽으로..				여신 메데이나
QUEST_20190419_010880	Do not worry. Kartas will not be able to harm me.{nl}There is a reason he has been chasing after me for so long.{nl}	너무 걱정마렴. 카르타스는 지금 당장 날 어찌하지 못할 거야.{nl}그가 오랜 시간 동안 날 쫓아다닌 건 분명한 목적이 있기 때문이니까.{nl}				여신 메데이나
QUEST_20190419_010881	I believe it may have to do with these seeds...{nl}But if we can only use his temperament against him...{nl}	아마도 그 목적이 이 신수의 씨앗 같기도 하고..{nl}하지만 그의 성격을 잘만 이용한다면..{nl}				여신 메데이나
QUEST_20190419_010882	Oh no... We must hurry!	이런.. 서둘러야겠어!				여신 메데이나
QUEST_20190419_010883	Mwahaha! Here you are, Medeina! Hidden in your little corner!	크하하! 잘도 이런 구석에 숨어있었구나. 메데이나!				카르타스
QUEST_20190419_010884	Still got those old powers of yours, hey?{nl}I'm surprised...! Hahah.	게다가 아직 그런 힘이 남아있었다니.{nl}솔직히 놀라운데? 크흐흐..				카르타스
QUEST_20190419_010885	Kartas!{nl}I don't know what it is you want, but you won't have it your way.	카르타스!{nl}그대가 뭘 원하는지는 모르겠지만, 뜻대로 되진 않을 거예요.				여신 메데이나
QUEST_20190419_010886	Bwahaha! I'm not too worried about that, my dear.{nl}Besides...	크하하! 아니야. 뜻대로 되지 않는 건 내가 아니야.{nl}게다가..				카르타스
QUEST_20190419_010887	Looks like that's no ordinary stick you got there, is it?{nl}I'll take that, thank you.{nl}	품안에 숨겨둔 걸 보니 이 나뭇가지가 평범한 건 아닌가 보군.{nl}이건 내가 가져가야겠어.{nl}				카르타스
QUEST_20190419_010888	And Medeina. I'm gonna need you to come with me.	그리고 메데이나. 너도 나와 함께 움직여줘야겠어.				카르타스
QUEST_20190419_010889	Medeina, sweetheart. You know my patience is short, why are you trying to test it?{nl}Let me ask you one more thing.{nl}	크으으.. 메데이나. 내 인내심을 잘 알고 있을 텐데 왜 그러는 거지?{nl}마지막으로 물어보지.{nl}				카르타스
QUEST_20190419_010890	How does one revive from inside the Divine Tree?{nl}How do you do it!!{nl}	신수로 환원되었을 때 부활할 수 있는 방법!{nl}그 방법에 관해 얘기해!{nl}				카르타스
QUEST_20190419_010891	And that stick of yours. What does it have to do with all of this!?	네가 가지고 있던 나뭇가지. 이것과도 무슨 관련이 있겠지!				카르타스
QUEST_20190419_010892	My answer remains the same, Kartas.{nl}I will not tell those who search for the answer.	내 대답은 똑같습니다. 카르타스.{nl}방법이 있다 한들 그대에게는 말하지 않을 거예요.{nl}				여신 메데이나
QUEST_20190419_010893	Come to think of it...{nl}It seems Giltine wasn't the one who commanded you to find me.{nl}	그러고 보니..{nl}내가 보기엔 그대는 길티네의 명령으로 날 찾고 있던 게 아닌가 보군요.{nl}				여신 메데이나
QUEST_20190419_010894	Oh... I see.{nl}	아아.. 이제 알겠어요.{nl}				여신 메데이나
QUEST_20190419_010895	You and Giltine must have different goals, no doubt about that.	그대는 길티네와 다른 이상을 가지고 있는 게 분명하군요.				여신 메데이나
QUEST_20190419_010896	Heheh. I don't follow Giltine because we have the same goals, sweetie.{nl}I follow her because she's stronger than me!	크흐흐! 내가 길티네님을 따르는 건 같은 이상을 갖고 있어서가 아니야.{nl}그저 나보다 강하기 때문에 따르는 것 뿐이다!				카르타스
QUEST_20190419_010897	And yet you wouldn't dare say that in front of her. You're afraid.	하지만 그대가 두려워하는 길티네 앞에서는 그런 말조차 꺼내지 못하겠죠.				여신 메데이나
QUEST_20190419_010898	Afraid?{nl}Who said I'm afraid?{nl}	뭘 두려워해?{nl}내가 뭘 두려워한다고?{nl}				카르타스
QUEST_20190419_010899	Let me tell you! I ain't afraid of no one, you hear me?	내가 두려워하는 건 그 어디에도, 그 어느 것도 없다!				카르타스
QUEST_20190419_010900	Kartas. Have you thought about what would happen if Giltine fulfilled her intentions?{nl}Will you continue to follow her if she does?{nl}	카르타스. 만약에라도 길티네의 이상이 실현되었을 때를 생각해 본 적이 있나요?{nl}당신은 그때에도 지금처럼 온순히 길티네를 따를 건가요?{nl}				여신 메데이나
QUEST_20190419_010901	When the Creator awakens, the world as we know it will cease to exist.{nl}	훗날 그분께서 깨어나시면 결국 세상의 파멸 보시게 되겠지요.{nl}				여신 메데이나
QUEST_20190419_010902	What will be of you, Kartas, when that happens?	그때가 되면 카르타스. 당신은 어떻게 될까요?				여신 메데이나
QUEST_20190419_010903	Gasp!!	이이익!				카르타스
QUEST_20190419_010904	Hurry and get the Teleportation Magic Circle ready!{nl}We're wasting time.{nl}	마계 이동 마법진을 서둘러 준비해!{nl}괜한 시간 낭비를하고 말았어.{nl}				카르타스
QUEST_20190419_010905	Ha... Speaking of which, where is that good-for-nothing Tantaliser?{nl}I'm surrounded by idiots! Idiots, I tell you!	크으으.. 그나저나 탄타이저는 어디서 무엇을 하고 있는거야?{nl}주변에 온통 멍청한 놈들뿐이구나!				카르타스
QUEST_20190419_010906	It's safe to go now.	이제 이곳을 벗어나면 되겠군요.				여신 메데이나
QUEST_20190419_010907	Oh... Oh no. It's too late...	아.. 이런. 너무 늦어버렸구나..				여신 메데이나
QUEST_20190419_010908	Gasp! You...! You're the one who destroyed my magic circle and my Tantaliser, aren't you?!{nl}Messing with my plans again!{nl}	이익! 마법석을 파괴하고 탄타이저를 처리한 게 누군가 했는데..! 계시자 네놈이었구나!{nl}또다시 나타나서 날 방해해!{nl}				카르타스
QUEST_20190419_010909	And you, Medeina! Trying to fool me with that stupid stick...!	게다가 메데이나! 이딴 평범한 나뭇가지로 날 속이려고 하다니..!				카르타스
QUEST_20190419_010910	Kartas! You will never get the answer you want from me!	카르타스! 당신은 절대로 내게서 원하는 답을 들을 수 없을 거예요!				여신 메데이나
QUEST_20190419_010911	Ilona! Yulia!	일로나! 율리아!				여신 메데이나
QUEST_20190419_010912	Kupole Ilona	큐폴 일로나				
QUEST_20190419_010913	Ugh... Master Medeina...{nl}Please, take the Revelator and go...	으윽.. 메데이나님..{nl}어서 계시자님과 함께 이곳을 벗어나세요..				큐폴 일로나
QUEST_20190419_010914	No! I can't!{nl}I won't leave you here...!	안돼! 그럴 수 없어!{nl}어찌 너희들을 놔두고..				여신 메데이나
QUEST_20190419_010915	Kupole Yulia	큐폴 율리아				
QUEST_20190419_010916	Master Medeina...!{nl}Us Kupoles are only here to serve you! Your safety is far more important than ours.{nl}	메데이나님..!{nl}저희는 메데이나님을 모시는 큐폴이고 메데이나님의 안전이 저희보다 우선이에요.{nl}				큐폴 율리아
QUEST_20190419_010917	We mustn't put you in any more danger.{nl}Go, run! Far away from Kartas...{nl}	저희 때문에 메데이나님이 위험한 상황에 놓이게 만들 수는 없어요.{nl}어서 카르타스에게서 멀리 도망가세요..{nl}				큐폴 율리아
QUEST_20190419_010918	Go and protect that which you must.	부디 메데이나님이 지키고자 하는 것을 지켜내세요.				큐폴 율리아
QUEST_20190419_010919	Kartas knows where we are. He will come find us soon.{nl}Revelator, you must leave...	위치가 발각되었으니 곧 카르타스가 올 거예요.{nl}계시자님. 어서 빨리 이곳을..				여신 메데이나
QUEST_20190419_010920	Ha! Medeina!	크으윽! 메데이나!				카르타스
QUEST_20190419_010921	Kartas, how many times do I have to tell you?{nl}	카르타스. 몇 번이나 말해야 알아듣겠나요.{nl}				여신 메데이나
QUEST_20190419_010922	You will never get the answers you want from me...	그대가 원하는 대답은 절대 듣지 못할거란걸..				여신 메데이나
QUEST_20190419_010923	Ha, I'd like to hear you say that after I throw you into the demon realm.	널 마계로 대려간다면 못 들을 대답도 없지.				카르타스
QUEST_20190419_010924	What are you doing, using the Revelator to provoke me!{nl}I wouldn't take another step if I were you...!	너! 같잖은 계시자 주제에 내 화를 돋우는구나!{nl}더 다가온다면 굉장히 후회할 일이 생길 거다!				카르타스
QUEST_20190419_010925	Medeina!{nl}If it was up to me, these idiots would be screaming your name from their sorry chopped heads!{nl}	메데이나!{nl}내 성격대로라면 이 녀석들은 지금쯤 처참한 몰골로 네 이름을 부르짖었을 테지!{nl}				카르타스
QUEST_20190419_010926	Do you really want to see them suffer? Forever?	이 녀석들이 영원한 고통 속에 울부짖길 바라는 거냐?				카르타스
QUEST_20190419_010927	Alright, then.{nl}Have it your way...	그래.{nl}정 그렇다면 원하는대로..				카르타스
QUEST_20190419_010928	Kartas.{nl}You will not get what you want.	카르타스.{nl}더는 당신이 원하는 대로 되지 않을 겁니다.				크로노맨서 마스터
QUEST_20190419_010929	Bwahahah!{nl}	크히히히!{nl}				카르타스
QUEST_20190419_010930	Neringa, I can't believe you brought these puny humans to bother me.{nl}	네링가, 기껏 날 방해한다는 게 같잖은 인간들을 데리고 온 거냐?{nl}				카르타스
QUEST_20190419_010931	Amzinas or not, no human is a match for me, you hear?! None!{nl}Hah!	아무리 영생을 얻은 암지나스라도 내 상대가 될 수 없다!{nl}크아아!				카르타스
QUEST_20190419_010932	You foolish, lowly creatures.{nl}You wait and see.{nl}	미천하고 어리석은 녀석들아.{nl}곧 기다려라.{nl}				카르타스
QUEST_20190419_010933	Next time I see you, I'm going to make you suffer! Forever!{nl}	다음번에 만날 땐 너희들을 영원한 고통 속에서 살게 해주겠으니!{nl}				카르타스
QUEST_20190419_010934	And Neringa.{nl}Always going on about fate this, fate that with your master Laima!{nl}	그리고 네링가.{nl}너와 네 주인 라이마가 항상 운운하던 그 운명!{nl}				카르타스
QUEST_20190419_010935	Are things really going to end the way you want them to?{nl}Bwahahaha!	그 운명의 끝이 과연 너희들이 생각하던 바람대로 이뤄질까?{nl}크하하하하!				카르타스
QUEST_20190419_010936	I made a mistake!{nl}Knowing Kartas, I was sure he was going to attack us...{nl}	제가 우를 범했군요!{nl}카르타스의 성격이라면 당연히 우릴 공격할 줄 알았는데..{nl}				크로노맨서 마스터
QUEST_20190419_010937	We can't lose Kartas now!{nl}The Paladin Master and I are going after him!	지금 카르타스를 놓쳐선 안 됩니다!{nl}팔라딘 마스터께선 저와 함께 그를 쫓아가죠!				크로노맨서 마스터
QUEST_20190419_010938	A firefly appears and begins to point towards something.	반딧불이 하나가 나타나 어딘가로 나를 이끄는 듯하다.				PC
QUEST_20190419_010939	The firefly hovers around, as if asking you to follow it.	반딧불이가 자신을 쫓아오라는 듯이 서성거린다.				PC
QUEST_20190419_010940	A flower suddenly bloomed next to the firefly.	반딧불이 앞에 꽃이 갑자기 피어났다.				PC
QUEST_20190419_010941	Lost butterflies will always wander towards the flowers.	꽃을 잃은 나비들은 하염없이 그 주위를 맴돌아 꽃을 쫓으리.				PC
QUEST_20190419_010942	A group of yellow butterflies is gathering.{nl}Which flower will you use?	노란 나비 무리가 모여 날아다니고 있다.{nl}무슨 꽃을 꺼내 볼까?				PC
QUEST_20190419_010943	A group of red butterflies is gathering.{nl}Which flower will you use?	붉은 나비 무리가 모여 날아다니고 있다.{nl}무슨 꽃을 꺼내 볼까?				PC
QUEST_20190419_010944	A group of white butterflies is gathering.{nl}Which flower will you use?	하얀 나비 무리가 모여 날아다니고 있다.{nl}무슨 꽃을 꺼내 볼까?				PC
QUEST_20190419_010945	What will you do with the yellow flower?	꺼내 본 노란 꽃으로 어떻게 해볼까?				PC
QUEST_20190419_010946	What will you do with the red flower?	꺼내 본 붉은 꽃으로 어떻게 해볼까?				PC
QUEST_20190419_010947	What will you do with the white flower?	꺼내 본 하얀 꽃으로 어떻게 해볼까?				PC
QUEST_20190419_010948	Beyond the hill is a place the wings of the butterflies reach only in dreams.	언덕 너머 나비들의 날갯짓이 닿지 않는 곳을 나비들은 그저 꿈속에서나마 날아가네.				PC
QUEST_20190419_010949	There is a bunch of yellow flowers.{nl}Which leaf will you use?	노란 꽃들이 모여있다.{nl}무슨 색의 나뭇잎을 꺼내 볼까?				PC
QUEST_20190419_010950	There is a bunch of red flowers.{nl}Which leaf will you use?	붉은 꽃들이 모여있다.{nl}무슨 색의 나뭇잎을 꺼내 볼까?				PC
QUEST_20190419_010951	There is a bunch of white flowers.{nl}Which leaf will you use?	하얀 꽃들이 모여있다.{nl}무슨 색의 나뭇잎을 꺼내 볼까?				PC
QUEST_20190419_010952	What will you do with the yellow leaf?	꺼내 본 노란 나뭇잎으로 어떻게 해볼까?				PC
QUEST_20190419_010953	What will you do with the red leaf?	꺼내 본 붉은 나뭇잎으로 어떻게 해볼까?				PC
QUEST_20190419_010954	What will you do with the white leaf?	꺼내 본 하얀 나뭇잎으로 어떻게 해볼까?				PC
QUEST_20190419_010955	Those who guide the butterflies will be blessed by the trees in the shelter of life.	나비를 인도한 자에게 생명의 쉼터에서 나무들이 축복을 내리네.				PC
QUEST_20190419_010956	Try and do something with the crystals from Drugelis Hill.	드러글리스 언덕에서 획득한 결정으로 뭔가를 해보자.				PC
QUEST_20190419_010957	Where the longing deer are welcome, the one blessed by the trees awaits you.	목마른 사슴을 반겨줄 곳에서 나무들의 축복을 받은 그대를 기다리리.				PC
QUEST_20190419_010958	We need to go!	어서 움직여요!				큐폴 아스트라
QUEST_20190419_010959	The two scrolls I gave you are called the Binding Scroll and the Sealing Scroll.{nl}Using the Sealing Scroll on the Magic Stone will seal up its magic power.	방금 드린 주문서는 마력 봉인의 주문서와 속박의 주문서에요.{nl}마력 봉인의 주문서를 마법석에 사용하면 마법석의 마력이 봉인될 거에요.				큐폴 아스트라
QUEST_20190419_010960	{nl}It's too hard to change the path of the stone's magic power while it's being supplied.{nl}So you're going to have to use the Sealing Scroll and seal that magic first.	{nl}마법석의 마력이 공급되고 있는 도중에 억지로 공급 경로를 바꾸긴 힘들어요.{nl}그래서 마력 봉인의 주문서를 이용해 한번 봉인한 뒤에 경로를 맞춰줘야 해요.				큐폴 아스트라
QUEST_20190419_010961	{nl}The Binding Scroll is for securing the Tantaliser, at least for some time.{nl}If we manage to keep the Tantaliser in the path of the Magic Stone's power supply...{nl}She won't be able to escape as long as the power supply remains active.	{nl}그리고 속박의 주문서는 탄타이저를 잠시나마 묶어둘 주문서에요.{nl}마법석의 마력 공급 경로상에서 탄타이저를 잠시나마 묶어두는 데 성공한다면..{nl}마법석의 마력 공급이 유지되는 한 탄타이저의 속박은 풀어지지 않을 거예요.				큐폴 아스트라
QUEST_20190419_010962	I'll go find the Tantaliser and lure her to where the Magic Stone is.{nl}Counting on you for the rest!	그럼 저는 그동안 탄타이저를 쫓아가 마법석이 있는 곳으로 유인해볼게요.{nl}부탁드릴게요!				큐폴 아스트라
QUEST_20190419_010963	Hurry!	어서 서둘러요!				큐폴 아스트라
QUEST_20190419_010964	Something feels ominous!{nl}Hurry, hide behind a tree!	멀리서 불길한 기운이 느껴져요!{nl}일단 나무 뒤에 숨어요!				큐폴 아스트라
QUEST_20190419_010965	That was Demon Lord Tantaliser.{nl}What's she doing here...?	방금 본 마족은 마군주 탄타이저에요.{nl}이런 숲에 탄타이저가 배회하고 있다니..				큐폴 아스트라
QUEST_20190419_010966	In any case, I'm certain Master Medeina is hiding somewhere in the forest.{nl}The Tantaliser must be looking for her.	아무래도 메데이나님이 이 숲 어딘가에 숨어계신 게 확실해요.{nl}탄타이저도 분명 메데이나님을 찾고 있는 것 같아요.				큐폴 아스트라
QUEST_20190419_010967	Ah! It's the Tantaliser!	아! 저기 탄타이저가 오고 있어요!				큐폴 아스트라
QUEST_20190419_010968	I'm going to change the path of the Stone's magic to the front. Make sure to lure the Tantaliser that way.{nl}After you use the Binding Scroll, I'll go ahead and unleash the Magic Stone's power!	마법석의 마력 공급 경로를 앞쪽으로 변경해둘 테니 탄타이저를 앞쪽으로 유인해주세요.{nl}그리고 계시자님이 속박의 주문서를 사용하면 제가 그때 마법석의 마력 봉인을 해제할게요!				큐폴 아스트라
QUEST_20190419_010969	This is the Gyvenimas Shelter.	가이베니마스 쉼터에 도착했어요.				큐폴 아스트라
QUEST_20190419_010970	It's barely there, but I do feel a faint divine energy in the saplings and the rocks here.{nl}What about that crystal you found at Drugelis Hill?{nl}Maybe it's a clue. 	희미하긴 하지만 묘목과 바위에서 신성한 기운이 느껴져요.{nl}계시자님이 드러글리스 언덕에서 발견하신 결정 말이에요.{nl}그 결정이 뭔가 단서가 되지 않을까요? 				큐폴 아스트라
QUEST_20190419_010971	Apparition of Goddess Medeina	여신 메데이나의 환영				
QUEST_20190419_010972	I knew you would be the one to find my seed, Revelator.{nl}I am Medeina, Goddess of the Forest.	역시 제가 안배해놓은 씨앗을 찾아내신 분이 바로 계시자님이시군요.{nl}저는 숲의 여신 메데이나라고 합니다.{nl}				여신 메데이나의 환영
QUEST_20190419_010973	I come to you as my apparition so I may avoid the evil Kartas.{nl}For reasons I ignore, he has been chasing after me incessantly since Medzio Diena.{nl}	제가 이렇게 환영으로 계시자님 앞에 나타난 이유는 바로 카르타스 때문입니다.{nl}카르타스는 무슨 이유인지는 모르지만, 신수의 날 이후로 절 쫓기 시작했습니다.{nl}				여신 메데이나의 환영
