QUEST_LV_0100_20150317_000001	$Sentinela
QUEST_LV_0100_20150918_008113	Aperte {img F10 40 40} para abrir o menu Ajuda para obter mais informações.
QUEST_LV_0100_20150918_008114	As Escrituras na Parede
QUEST_LV_0100_20150918_008115	Quais fatores são decisivos para determinar o desfecho da batalha?{nl}Se você só continuar a atacar sem pensar, pode acabar sendo atacado de volta.
QUEST_LV_0100_20150918_008116	Golens nessa situação...{nl}Você se lembra do que eu lhe ensinei, né?
QUEST_LV_0100_20150918_008117	$Você está indo bem.{nl}Como Mestre Paladino, devo demonstrar meu respeito às suas conquistas.
QUEST_LV_0100_20150918_008118	Obrigado por completar o favor de Laimonas.{nl}Você pode entrar em Klaipeda.{memo Uska is a knight, keep the Sir} Sir Uska está esperando pelos Reveladores.
QUEST_LV_0100_20150918_008119	$Pode haver mais desses Kepas Grandes perambulando pelas áreas próximas.{nl}Você poderia dar uma olhada por mim, por favor?{nl}
QUEST_LV_0100_20150918_008120	$Era como eu imaginei, não é? Foi esse instinto que me manteve vivo durante Medzio Diena.
QUEST_LV_0100_20150918_008121	$Faz muito tempo, meus homens deveriam ter voltado, mas não ouvi nada deles ainda.{nl}Eu sei que se passaram quatro anos desde Medzio Diena, mas meus homens estão ficando muito relaxados ultimamente.
QUEST_LV_0100_20150918_008122	
QUEST_LV_0100_20150918_008123	Com o desaparecimento das deusas, e monstros como Golens aparecendo... {nl}Será que realmente há esperança?
QUEST_LV_0100_20150918_008124	Como foi? Havia muitas habilidades que pareciam úteis?{nl}Se você usar suas habilidades eficientemente, elas serão muito úteis em combate.{nl}
QUEST_LV_0100_20150918_008125	Nesse caso, você será a isca e cuidará do dispositivo de defesa do Mausoléu Real na Entrada Sesija.{nl}Só vou dizer isso uma vez, então preste atenção.
QUEST_LV_0100_20150918_008126	Ninguém pode perturbar o sono eterno do grande rei.
QUEST_LV_0100_20150918_008127	$Convença o espírito que se dirige à Colina Amolallul{nl}e guie-o à Escultura da Coruja Triste!
QUEST_LV_0100_20150918_008128	Você derrotou o Golem Cinza!
QUEST_LV_0100_20150918_008129	Você obteve 1 Ponto de Atributo dos artefatos de Ruklys!
QUEST_LV_0100_20150918_008130	Você voltou com Dente de Javalomem, mas Rexipher não está aqui!
QUEST_LV_0100_20150918_008131	Você observou a quarta lápide de Lydia Schaffen{nl}Verifique o que está escrito na última lápide
QUEST_LV_0100_20150918_008132	Gaigalas interrompeu você enquanto tocava na raiz
QUEST_LV_0100_20150918_008133	Molich interrompeu você enquanto tocava na raiz
QUEST_LV_0100_20150918_008134	{memo X}A história sobre Ruklys está escrita nisso
QUEST_LV_0100_20150918_008135	Derrote os Javalomens que estão interferindo
QUEST_LV_0100_20150918_008136	$Procure uma pista do desaparecimento nas sacolas de Sauga 
QUEST_LV_0100_20150918_008137	$Soldado Glen está preocupado com os desaparecimentos recentes. Por favor, procure pistas do paradeiro dos desaparecidos derrotando Sauga e vasculhando em sua busca.
QUEST_LV_0100_20150918_008138	$Resgate as almas aprisionadas
QUEST_LV_0100_20150918_008139	$O espírito aprisionado não é o único que está vagando. Escute mais detalhes com a Escultura da Coruja Triste.
QUEST_LV_0100_20150918_008140	$A Escultura da Coruja Triste disse que há algo errado, já que as almas que foram ver a Estátua da Deusa estão sofrendo. Convença as almas que estão tentando ver a Estátua da Deusa e leve-as à Escultura da Coruja.
QUEST_LV_0100_20150918_008141	$Parece que a Escultura da Coruja Triste ouviu sobre o que está acontecendo com as almas. Volte à Escultura da Coruja Triste e pergunte o que aconteceu.
QUEST_LV_0100_20150918_008142	Use a fonte da magia concentrada nos Guardiões adormecidos
QUEST_LV_0100_20150918_008143	Coloque o Pote da Alma
QUEST_LV_0100_20150918_008144	$Maçom Canolyn não pôde completar sua viagem a Fedimian devido às Cocatrizes que estão por aí. Derrote Cocatrizes ao longo da estrada para Fedimian.
QUEST_LV_0100_20150918_008145	$Maçom Canolyn disse que um monstro chamado Moa roubou sua caixa de ferramentas. Derrote o Moa que fugiu para o Local da Capela Leipsna e procure pela caixa de ferramentas dele.
QUEST_LV_0100_20150918_008146	$Encontre Historiador Rexipher
QUEST_LV_0100_20150918_008147	$Colete Dente de Javalomem
QUEST_LV_0100_20150918_008148	Persiga Rexipher na Entrada do Mausoléu Real
QUEST_LV_0100_20151001_008149	Você conhece a lenda de Cunningham? {nl}É uma lenda sobre como um grande demônio foi aprisionado na Mina de Cristal no passado. {nl}
QUEST_LV_0100_20151001_008150	Imagino que o demônio aprisionado finalmente acordou para controlar os Vubbes. {nl}O sonho do bispo e a lenda de Cunningham... {nl}Me pergunto se são um presságio de um grande evento que está prestes a acontecer.{nl}
QUEST_LV_0100_20151001_008151	Apenas a deusa sabe se será esperança ou aflição. {nl}Você pode ler os detalhes sobre isso no livro encontrado no Local de Descanso dos Trabalhadores da Mina no 2A.
QUEST_LV_0100_20151001_008152	Bem, parece que os Vubbes realmente destruíram os filtros. {nl}Temos de consertá-los antes que os reféns fiquem sem ar. 
QUEST_LV_0100_20151001_008153	Protegerei essa vila em nome de meus colegas falecidos.
QUEST_LV_0100_20151001_008154	Se a Mestre Bokor lhe dissesse isso, eu saberia.{nl}Tem um lugar que me vem à mente.{nl}
QUEST_LV_0100_20151001_008155	Você está dizendo algo que é difícil de acreditar. {nl}Você quer dizer que essa revelação é da Deusa Laima e que temos de obter todas elas para que as deusas voltem?{nl}
QUEST_LV_0100_20151001_008156	$Deusa Laime é comumente chamada de deusa da recordação. {nl}Quando o Grande Rei Zachariel formou esse reino, o único relato disso foi concedido pela Deusa Laima. {nl}
QUEST_LV_0100_20151001_008157	Queria pedir um favor. {nl}Pequei, pois não fui capaz de cumprir meus deveres de proteger o reino no Medzio Diena. {nl}
QUEST_LV_0100_20151001_008158	Mas não sou um Revelador. {nl}Mesmo que quisesse expiar meus pecados, meu dever agora é proteger os muitos cidadãos de Klaipeda. {nl}
QUEST_LV_0100_20151001_008159	Então, por favor, encontre todas as revelações. {nl}Isso pode custar minha posição como Cavaleiro Comandante de Klaipeda, mas vou ajudar você a lidar com isso. 
QUEST_LV_0100_20151001_008160	Se você estiver indo a Klaipeda, deixe-me pedir um favor. {nl}Não é fácil ir para Klaipeda por causa das InfraRocharugas.
QUEST_LV_0100_20151001_008161	$Me sinto tão aliviado de ter sido enviado à Floresta Ocidental.{nl}Prefiro morrer a ser mandado para certos lugares.
QUEST_LV_0100_20151001_008162	$Você se machucou?{nl}Agradeço por ter nos livrado do Poata, mas o que passou pela sua cabeça? 
QUEST_LV_0100_20151001_008163	$Você está dizendo que quer entrar nas Minas de Cristal para encontrar evidência da Salvação? {nl}
QUEST_LV_0100_20151001_008164	$Mas isso será difícil agora. {nl}Há uma enxurrada de Vubbes saindo da Mina de Cristal.{nl}
QUEST_LV_0100_20151001_008165	$E há um aumento na população de monstros aqui na Floresta Oriental que chega a ameaçar Klaipeda. {nl}O meio da Vila dos Mineradores se transformou em um campo de batalha. {nl}
QUEST_LV_0100_20151001_008166	$Dividimos o pelotão em dois. {nl}Metade do pelotão está defendendo a Vila dos Mineradores {nl}e a outra metade está investigando o aumento no número de monstros aqui na Floresta Oriental.
QUEST_LV_0100_20151001_008167	$Então, não estamos em posição de oferecer auxílio de nossas tropas para defender Reveladores enquanto eles procuram evidência da salvação. {nl}Mas também não posso ignorar a ordem do bispo e do Cavaleiro Comandante. {nl}
QUEST_LV_0100_20151001_008168	$Hmm, que tal isso...? {nl}
QUEST_LV_0100_20151001_008169	$Para testar se você consegue chegar a salvo na Vila dos Mineradores mesmo sem a ajuda de guardas... {nl}Que tal nos ajudar em nossa investigação?
QUEST_LV_0100_20151001_008170	Muito bem. {nl}Agora, vamos à tarefa principal.
QUEST_LV_0100_20151001_008171	{memo X}Ah, me deixe dar uma informação útil em agradecimento pela sua ajuda.{nl}A evidência de salvação que os Reveladores estão buscando pode ser encontrada na Área Fechada.
QUEST_LV_0100_20151001_008172	$Não faz tanto tempo. {nl}Senti uma energia estranha enquanto fazia experimentos perto da Área Fechada. {nl}Era bem diferente da magia que eu conhecia. Era bem quente.{nl}
QUEST_LV_0100_20151001_008173	$A Vila dos Mineradores está sendo sitiada e é perigosa.{nl}Por favor, espere em Klaipeda até o sítio acabar. 
QUEST_LV_0100_20151001_008174	Estou feliz em ver que você tem determinação para aprender o caminho da espada comigo, {nl}mas não tenho certeza de que é capaz.{nl}Testarei você assistindo a uma batalha contra Vubbes na Mina de Cristal 1A.
QUEST_LV_0100_20151001_008175	$Você encontrou Jonas na Passagem do Grande Rei? {nl}Ele definitivamente não estava doente. {nl}Mas ele também não foi afetado pela magia dos dias de hoje. 
QUEST_LV_0100_20151001_008176	Se esse bilhete for verdadeiro, podemos morrer a qualquer momento.{nl}Aliás, o que aconteceu com a pessoa que o escreveu?
QUEST_LV_0100_20151001_008177	Por causa disso, alguns discípulos morreram.{nl}Mas isso é estranho. Parece que nunca aconteceu.
QUEST_LV_0100_20151001_008178	Muito bem.{nl}Agora, será que isso vai ser a última lição...
QUEST_LV_0100_20151001_008179	Me traga casca dura de Varvs e chifres poderosos de Zinutekas.{nl}Não deve ser difícil para um dos meus discípulos.
QUEST_LV_0100_20151001_008180	Chegou a hora de você aprimorar as qualidades de Manas que possui como Vinculador.{nl}Qualquer mágica deve servir. Testarei você através de um duelo.
QUEST_LV_0100_20151001_008181	É uma vergonha para um homem olhar para trás uma vez que tenha iniciado a sua jornada.{nl}Meu irmão prefere morrer a olhar para trás.
QUEST_LV_0100_20151001_008182	Tenho certeza de que meu irmão permaneceu firme e aceitou seus momentos finais. {nl}Entretanto, ainda acho que ele poderia ter vivido de forma mais significativa {nl}se ao menos tivesse virado as costas para sua ambição...
QUEST_LV_0100_20151001_008183	Estou pensando em converter os demônios usando o poder do altar. {nl} Os demônios convertidos absorverão o poder divino e lentamente começarão a morrer. {nl}
QUEST_LV_0100_20151001_008184	Então, você achou o Lacre do Espaço. {nl}Sinceramente, não acreditei quando meu amigo, o Mestre Paladino, disse que um Salvador chegaria. {nl}
QUEST_LV_0100_20151001_008185	Era enorme a gravidade da situação. {nl}Minha família e meus amigos foram todos ver a deusa... {nl}Parecia não haver mais esperança nesse mundo. {nl}
QUEST_LV_0100_20151001_008186	Aqui, use o Lacre do Espaço no pilar ao meu lado e vá ao santuário. {nl}Está preparado apenas para o Revelador. 
QUEST_LV_0100_20151001_008187	Eu estava lá quando a Árvore Divina estava destruindo a capital. {nl}Mas não fui capaz de impedi-la. Não fui capaz de salvar todos.{nl}Isso machucará meu coração como uma agulha para sempre. 
QUEST_LV_0100_20151001_008188	$Mas você é diferente. Você tem o poder de salvar todos. {nl}Todos os seguidores, os Vigias, até os desejos meus e do primeiro Paladino... {nl} 
QUEST_LV_0100_20151001_008189	Certo. {nl}Eu falei que você precisa encontrar a Deusa Saule? {nl}
QUEST_LV_0100_20151001_008190	O regato colorido mencionado na revelação começa acima da Ravina Vheja. {nl}Bem, então, que as Bênçãos da deusa estejam convosco.
QUEST_LV_0100_20151001_008191	Quando você achar a revelação, conte ao Mestre Paladino a história de tudo que fez até agora. {nl}Ele deve ser um dos mais ansiosos quanto a isso. {nl}
QUEST_LV_0100_20151001_008192	Reunirei todas as preces para minha família e amigos, e as oferecerei a você. {nl}Que as bênçãos da deusa estejam convosco...
QUEST_LV_0100_20151001_008193	Mas este meu corpo idoso já não respeita mais a minha vontade. {nl} Agora, só posso confiar no meu velho amigo Algis e em você. {nl}
QUEST_LV_0100_20151001_008194	Vá. A Igreja da Doutrina fica no Jardim da Doutrina.{nl}O desejo de toda a minha vida... Certifique-se de impedir que a revelação caia nas mãos de Gesti.
QUEST_LV_0100_20151001_008195	$Por favor, traga sementes Mali no caminho da Estrada Labure. {nl} Elas seriam uma boa fonte de magia para a boneca xamã. {nl} {nl}
QUEST_LV_0100_20151001_008196	$Você pode me ajudar a purificar a Estrada Labure? {nl} A boneca xamã encontra a força maligna, mas só nós podemos purificá-la.
QUEST_LV_0100_20151001_008197	Precisamos da corda para a cerimônia para criar uma boneca xamã. {nl} Está na cintura do Xamã Panto no Chalé. {nl} Traga-a para mim.
QUEST_LV_0100_20151001_008198	$Eu voltei porque os anciãos me disseram para restaurar as bonecas usadas para feitiços.{nl}Uma boneca para feitiços. Não parece empolgante?
QUEST_LV_0100_20151001_008199	Eu não aguento ver totens Pantos repletos de energia maligna. {nl} Vou tentar atravessar com uma boneca xamã. Quer tentar?
QUEST_LV_0100_20151001_008200	Ouvi dizer que o primeiro Paladino prometeu três coisas para salvar nossa família. {nl}
QUEST_LV_0100_20151001_008201	Nossas bonecas Xamã são diferentes das bonecas Xamã de Bokor. {nl}
QUEST_LV_0100_20151001_008202	Você pode invocar a boneca xamã com esse pergaminho de invocação. {nl}
QUEST_LV_0100_20151001_008203	$O poder de um Elementalista vem da compreensão da raiz de tudo. {nl}Vento, Água, Fogo, Terra. Extraímos os poderes mais fortes das entidades mais simples. 
QUEST_LV_0100_20151001_008204	$Essa floresta também está ficando mais escura. {nl}Muitas pessoas deviam se dar conta de que Medzio Diena era só o princípio do desastre. {nl}
QUEST_LV_0100_20151001_008205	Pena que Gesti não tenha sido morta, mas você ainda fez um bom trabalho.{nl}Tudo acabará em breve...
QUEST_LV_0100_20151001_008206	Sem Airine, eu teria morrido.{nl}É claro, realmente aprecio sua ajuda.
QUEST_LV_0100_20151001_008207	$Tudo é culpa minha.{nl}Schmid está morto... O que posso fazer sozinho...
QUEST_LV_0100_20151001_008208	$Preces e cerimônias não são as únicas maneiras de servir à deusa. {nl}Servir ao mundo através de treinamento físico também é uma missão importante do clérigo. 
QUEST_LV_0100_20151001_008209	$Há duas maneiras de se conectar à deusa. {nl}Uma crença ardente nela e o som da prata sendo depositada na caixa de oferenda. Só essas duas. 
QUEST_LV_0100_20151001_008210	$A magia para controlar o tempo é a essência de toda magia.{nl}Essas são as palavras de Agailla Flurry.
QUEST_LV_0100_20151001_008211	Fiquei sabendo que um Revelador derrotou o Lorde Demônio que saqueava o Mausoléu Real.{nl}Como alguém em treinamento, tenho vergonha de não ter participado dessa luta.
QUEST_LV_0100_20151001_008212	O bispo está enclausurado, rezando. {nl}Quando estiver com tudo pronto, por favor, vá até Aras, na Floresta Oriental.
QUEST_LV_0100_20151001_008213	Eu vou dar a você mais do que o cavaleiro pediu para dar, então, por favor, nos ajude a encontrar as deusas. {nl}
QUEST_LV_0100_20151001_008214	Klaipeda está repleta de esperança e expectativas quanto aos Reveladores que sonharam com a deusa. {nl}Eu também sou uma dessas pessoas. {nl}
QUEST_LV_0100_20151001_008215	Darei a você mais do que o cavaleiro me instruiu para dar. {nl}Já que há tantos Reveladores, as coisas vão melhorar, não é? 
QUEST_LV_0100_20151001_008216	$Você está dizendo que realmente afastou o Lorde Demônio da Mina de Cristal... {nl}Obrigado por me devolver algo que achei ter perdido faz muito tempo. Esperança. 
QUEST_LV_0100_20151001_008217	O primeiro Paladino e a Igreja da Doutrina cumpriram seus deveres. {nl}Certo... Finalmente, a hora chegou. Junto com o Revelador. 
QUEST_LV_0100_20151001_008218	$Ouvi dizer que os monstros na Floresta Kateen estão comendo as Esculturas de Coruja que eu fiz. {nl}Tenho certeza de que estão tentando usar as almas para alguma outra coisa. Como para nutrição. 
QUEST_LV_0100_20151001_008219	$Você sabia? Um Revelador derrotou o Lorde Demônio na Mina de Cristal. {nl}Você acha que com o desastre também vem a esperança? 
QUEST_LV_0100_20151001_008220	$Quando vi os Reveladores pela primeira vez, me perguntei se eles eram dignos desse nome. {nl}Mas eles salvaram a Mina de Cristal e a Igreja da Doutrina. {nl}Definitivamente, há um Salvador enviado pela deusa. 
QUEST_LV_0100_20151001_008221	Ouvi dizer que um Revelador derrotou o Lorde Demônio na Mina de Cristal. {nl} Incrível. Os Lordes Demônios não são os maiorais entre os demônios? 
QUEST_LV_0100_20151001_008222	Você ficou sabendo do Revelador que impediu a Rainha Demônio na Igreja da Doutrina? {nl}Seria melhor se ela tivesse sido morta de verdade, {nl}mas ela é a Rainha Demônio, afinal de contas, alguém que nem mesmo o Mestre Paladino foi capaz de derrotar. {nl}Só isso já é incrível o suficiente. 
QUEST_LV_0100_20151001_008223	$Como caçador, meu instinto diz que os monstros nessa floresta estão demonstrando movimento incomum. {nl}Como se estivessem sendo controlados por alguma coisa. 
QUEST_LV_0100_20151001_008224	Sinto vergonha de não ter sido capaz de me juntar ao esquadrão na Igreja da Doutrina. {nl}Mas não é incrível? A Igreja da Doutrina foi salva daquele Lorde Demônio. 
QUEST_LV_0100_20151001_008225	$Era o que eu imaginava. Os monstros nessa floresta foram perseguidos pelos Vubbes. {nl}E o Revelador realmente derrotou o Lorde Demônio que planejou tudo isso.{nl}Realmente, me pergunto quem era. 
QUEST_LV_0100_20151001_008226	Se fosse minha cidade natal e um demônio ocupasse as Minas, ele seria atacado por todos e haveria uma celebração. {nl}De qualquer jeito, não sei quem é esse Revelador, mas esse reino fragilizado finalmente encontrou alguém útil. 
QUEST_LV_0100_20151001_008227	Uma igreja sagrada teve de passar por coisas muito ruins. Os clérigos desse reino estão planejando algo incomum.{nl}Mas foi bom ter protegido a Igreja da Doutrina. Quer dizer que eles têm coragem, não acha? {nl}{nl}
QUEST_LV_0100_20151001_008228	Os Vubbes de repente saíram correndo das Minas. {nl}Não faço ideia do que está acontecendo. Você tem algo em mente? 
QUEST_LV_0100_20151001_008229	Não saberemos se os Reveladores realmente sonharam com a deusa. Pode até ser um truque dos demônios. {nl}Mas não foi um deles que salvou a Igreja da Doutrina? {nl}Do Lorde Demônio, inclusive. 
QUEST_LV_0100_20151001_008230	É um alívio o Revelador ter afastado o Lorde Demônio das minas. Estava com medo que outro Medzio Diena acontecesse. {nl}Mas senti algo quente... Foi só impressão minha? {nl}Era uma energia pura e boa.
QUEST_LV_0100_20151001_008231	$É uma excelente notícia saber que o Revelador ajudou a afastar o Lorde Demônio da Mina de Cristal.{nl}Mas eu senti uma energia estranha e sagrada... Poderia ter sido só um delírio? {nl}É difícil descrever.
QUEST_LV_0100_20151001_008232	$Você acha que há uma relação entre Medzio Diena e os demônios? {nl}Digo, veja a Igreja da Doutrina. Era como se os demônios estivessem esperando por aquele momento...{nl}Pensando bem, os Reveladores poderiam ter preparado aquele palco. 
QUEST_LV_0100_20151001_008233	$Eu consegui passar pelos monstros selvagens, e você passou pela Floresta Espinhosa. {nl}Tenho certeza de que você não está procurando pela deusa... Então, qual é o problema? 
QUEST_LV_0100_20151001_008234	$Ouvi dizer que os historiadores foram atacados pelo Lorde Demônio no Platô do Rei. {nl}Então, isso quer dizer que o desastre foi previsto mil anos atrás? {nl}De qualquer forma, é um alívio que o Revelador tenha impedido isso. 
QUEST_LV_0100_20151001_008235	$Entre essa Área de Desfiladeiro e Klaipeda está a Floresta Espinhosa, que está repleta de energia maligna. {nl}Era só uma floresta normal e pacífica antes, mas...{nl}Você vai cruzar a floresta... Isso quer dizer que a floresta agora está purificada? 
QUEST_LV_0100_20151001_008236	$Ainda há tanta coisa a ser descoberta sobre o Grande Rei Zachariel.{nl}Mas já que os demônios vivem mais tempo que nós... Isso deve ser o que eles estavam espreitando. {nl}Não sei quem é, mas felizmente o Revelador impediu isso. Poderia ter resultado em outro Medzio Diena.
QUEST_LV_0100_20151001_008237	$Eu ouvi dizer que a fonte da energia maligna nas profundezas da Floresta Espinhosa desapareceu recentemente. {nl}Mas vamos precisar de muito tempo para a floresta voltar ao seu estado anterior...
QUEST_LV_0100_20151001_008238	$Você soube que um Revelador impediu o plano do Lorde Demônio no Mausoléu Real? {nl}Eu soube que um Lorde Demônio estava andando por aí destruindo as ruínas no Platô do Rei.{nl}Fico feliz que ele tenha sido punido.
QUEST_LV_0100_20151001_008239	Como você chegou aqui? Você atravessou a Floresta Espinhosa? {nl}Hmm. Você está dizendo que não pode me contar.
QUEST_LV_0100_20151001_008240	$O Lorde Demônio, que estava atrapalhando o Platô do Rei, parece ter sido a razão por trás de todos os casos de pessoas desaparecidas. {nl}Ele mereceu ter um Revelador para arruinar seus planos. 
QUEST_LV_0100_20151001_008241	$Desde o desaparecimento da Deusa Saule, a área ao redor da Floresta Kvailas ficou repleta de energia maligna e espinhos. {nl}Você atravessou a Floresta Espinhosa? Podemos dizer que isso é um bom sinal? {nl}
QUEST_LV_0100_20151001_008242	$Um Revelador salvou o Mausoléu Real do Rei Zachariel. {nl}Mas por que os demônios iriam atrás de ruínas com mais de mil anos de idade? {nl}Há tanta coisa que não sabemos. {nl}
QUEST_LV_0100_20151001_008243	$Eu ouvi dizer que os monstros continuam atacando as ruínas e os historiadores continuam desaparecendo. {nl}Mas ninguém se lembra de nada depois disso acontecer. Curioso. 
QUEST_LV_0100_20151001_008244	$Eu ouvi dizer que um Revelador afugentou o Lorde Demônio que estava tentando tomar o Mausoléu Real. {nl}Engraçado. Isso não quer dizer que tudo foi previsto mil anos atrás? 
QUEST_LV_0100_20151001_008245	Se o Lorde Demônio invadiu o Mausoléu Real, então os sintomas de Jonas na Rota do Portão também se tornam claros. {nl}Se o Rei Zachariel apagou as memórias dos trabalhadores no Mausoléu, então deve ser um efeito colateral da magia antiga. {nl}O que você acha que ele planejava fazer? 
QUEST_LV_0100_20151001_008246	$Agora, os demônios têm um rosto humano. {nl}Eu ouvi dizer que um Revelador impediu o Lorde Demônio no Mausoléu Real,{nl} Mas me pergunto quantos demônios se escondem entre humanos agora. 
QUEST_LV_0100_20151001_008247	Esse lugar guarda os relatos do lado oculto da história. {nl}Tempo é algo absoluto. Só depende de como você olha para ele. 
QUEST_LV_0100_20151001_008248	Eu ouvi dizer que um Revelador derrotou o Lorde Demônio que estava de olho no Mausoléu Real. {nl}Pode ser um pouco de exagero fazer uma conexão entre Medzio Diena e um rei de mil anos atrás... {nl}Mas tenho certeza de que há algo que todos esquecemos.
QUEST_LV_0100_20151001_008249	Os demônios vêm atacando a Torre da maga continuamente mesmo antes de Medzio Diena.{nl}Graças à deusa, que nos enviou o Revelador, agora finalmente colocamos um fim à longa batalha. 
QUEST_LV_0100_20151001_008250	$A história parece inacreditavelmente pesada quando você está nesse lugar. {nl}Talvez você possa encontrar uma pista sobre Medzio Diena aqui. 
QUEST_LV_0100_20151001_008251	$Continuo achando que Medzio Diena pode ter sido apenas um processo.{nl}Se não, por que os demônios iriam atrás de um mausoléu com mais de mil anos de idade? {nl}Ainda bem que algum Revelador impediu que isso acontecesse.
QUEST_LV_0100_20151001_008252	$Todos sabiam que Helgasercle demonstrava uma obsessão com a Torre da Maga há séculos. {nl}Seja lá o que tenha naquela torre, finalmente poderemos ver o fim disso. {nl}E isso é ótimo. 
QUEST_LV_0100_20151001_008253	$Primeiro, a Igreja da Doutrina, e agora a Grande Catedral...{nl}Mas eles dizem que tudo foi resolvido pelo Revelador, então tenho esperança de que as coisas melhorem.{nl}Não me incomodar com as fofocas do mundo e fazer o que for necessário é bom para a deusa e para o reino. 
QUEST_LV_0100_20151001_008254	$O rumor de que um Revelador salvou a Torre da Magia é algo que até alguém como eu, {nl}que não se interessa pelas fofocas do mundo, vai prestar atenção. {nl}Estou surpreso por não haver sequer uma pessoa boa o suficiente entre todos aqui. 
QUEST_LV_0100_20151001_008255	Helgasercle era uma encarnação de obsessão. {nl}A corrente de obsessão foi quebrada graças ao Revelador, mas almas não são algo que pode ser salvo. 
QUEST_LV_0100_20151001_008256	$Eu ouvi dizer que o Revelador derrotou o Lorde Demônio que perverteu os sábios ensinamentos de Maven. {nl}Agora, é chegada a hora de, nós, os sacerdotes, virmos à frente. {nl}Deveríamos colocar de lado nossas lamentações sobre falhar em proteger a Grande Catedral e nos redimir de nossos pecados. 
QUEST_LV_0100_20151001_008257	Meu colega está morto?{nl}Não pode ser. Se ao menos eu não o tivesse tentado...{nl}
QUEST_LV_0100_20151001_008258	Esse mapa é inútil para mim agora, sem meu colega.{nl}Por favor, reze para que meu colega vá à deusa em segurança.
QUEST_LV_0100_20151001_008259	$Não posso deixar tudo para trás...
QUEST_LV_0100_20151001_008260	O que faremos agora? {nl}Os Vubbes entraram correndo e raptaram os habitantes!
QUEST_LV_0100_20151001_008261	Então, você é o Revelador, não é? {nl}A deusa deve ter ajudado. {nl}
QUEST_LV_0100_20151001_008262	{memo X}Isso é tudo por causa do sonho do bispo de Klaipeda. {nl}Que história é essa sobre evidência da salvação na Mina de Cristal? Nunca vi tal coisa. {nl}
QUEST_LV_0100_20151001_008263	Não tenho certeza se essa é a razão, mas os Vubbes de repente saíram correndo da Mina de Cristal. {nl}Aqueles Vubbes levaram todos os habitantes que encontraram nas minas. {nl}
QUEST_LV_0100_20151001_008264	Por favor... Salve os habitantes. {nl}Eu imploro!
QUEST_LV_0100_20151001_008265	Vamos à Mina de Cristal. {nl}Conto o resto da história na entrada da Mina de Cristal. 
QUEST_LV_0100_20151001_008266	Espere! Há algo que você deveria saber. {nl}Fomos para as minas para salvar os habitantes raptados, também.{nl}Mas os filtros estavam quebrados e a mina cheia de gases tóxicos, então falhamos em todas as tentativas. {nl}
QUEST_LV_0100_20151001_008267	Si...sim..{nl}Encontre um jovem chamado Vaidotas!{nl}
QUEST_LV_0100_20151001_008268	Aquele rapaz sabe muito sobre os filtros da Mina de Cristal. {nl}Não faz muito tempo desde que ele foi levado pelos Vubbes, então ele deve estar no Posto Avançado Vubbe. 
QUEST_LV_0100_20151001_008269	{memo X}Você quer aprender minhas habilidades?{nl}Não é difícil ensinar, mas será que você dá conta?
QUEST_LV_0100_20151001_008270	A deusa sempre nos disse para ajudar aqueles ao nosso redor.{nl}Ajudando ao próximo, você ajudará seu espírito também.
QUEST_LV_0100_20151001_008271	A provação do Grande Rei Zachariel não é fácil.{nl}Com as suas habilidades, ele deveria ter reconhecido você.
QUEST_LV_0100_20151001_008272	$O reino perdeu toda a esperança. {nl}Não tem nenhuma vontade de resistir mais, e está apenas gritando pela deusa.{nl}
QUEST_LV_0100_20151001_008273	$Recentemente, entretanto, pessoas têm aparecido dizendo que sonharam com a deusa. {nl}Você é uma dessas pessoas, Revelador. {nl}
QUEST_LV_0100_20151001_008274	{memo X}De qualquer forma, o bispo em pessoa também teve um sonho enquanto rezava por um desfecho. {nl}Em seus sonhos, a deusa disse que a evidência da salvação seria encontrada na Mina de Cristal. {nl}
QUEST_LV_0100_20151001_008275	$Cavaleiro Aras, na Floresta Oriental, está responsável por isso, então vá encontrá-lo. 
QUEST_LV_0100_20151001_008276	$Quatro anos se passaram desde o incidente, por que a deusa está nos enviando Reveladores agora... {nl}Acho que alguém como eu pode não ser capaz de compreender o significado mais profundo da vontade da deusa.
QUEST_LV_0100_20151001_008277	Mas pelo menos eu sei que os Reveladores são nossa única esperança.{nl}
QUEST_LV_0100_20151001_008278	Bem, então, siga para a Floresta Oriental. {nl}Não se esqueça de adorar a Estátua da Deusa Ausrine na praça central antes de partir. {nl}
QUEST_LV_0100_20151001_008279	Além disso, certifique-se de passar pela Comerciante de Itens.{nl}Deixei alguns pergaminhos de teleporte para Reveladores como você. 
QUEST_LV_0100_20151001_008280	Sinto o sofrimento de Espinheiro.{nl}Ele está recebendo a vingança por extrair todo o vigor dessa terra.
QUEST_LV_0100_20151001_008281	Não tenho medo de morrer.{nl}A Deusa Saule me guiará bem.
QUEST_LV_0100_20151001_008282	O portal que você abriu era um acesso falso.{nl}Aquele portal leva onde todo o conhecimento do mundo está.
QUEST_LV_0100_20151001_008283	Estive lutando com o Lorde Demônio Espinheiro, que tentou tomar a revelação. {nl}Lutei com ele dia e noite para poder entregar a revelação a você. {nl}
QUEST_LV_0100_20151001_008284	Mas Medzio Diena quebrou o balanço da força. {nl}As deusas perderam a maior parte de sua força desde aquele dia. {nl}
QUEST_LV_0100_20151001_008285	Espinheiro aproveitou aquela oportunidade para roubar a revelação e me lacrar nesse lugar. {nl}Pois só eu sei como interpretar a revelação.{nl} 
