QUEST_LV_0200_20150317_000001	$Soldado de Philipas
QUEST_LV_0200_20150428_006993	$Use os fragmentos de lacre de Hauberk para deter os demônios na terceira área isolada e descobrir os planos de Nuaele.
QUEST_LV_0200_20150428_006994	$Você descobriu os planos de Nuaele. Informe os planos para Kupole Arune.
QUEST_LV_0200_20150428_006995	$Você descobriu os planos de Nuaele. Fale com Kupole Arune e veja o que fazer.
QUEST_LV_0200_20150428_006996	$Kupole Arune sugeriu derrotar os subordinados mais fortes e leais de Nuaele. Derrote os Harugals na quarta área isolada.
QUEST_LV_0200_20150428_006997	$Você derrotou os Harugals. Fale com Kupole Arune.
QUEST_LV_0200_20150428_006998	$Derrote os Harugals na quarta área isolada
QUEST_LV_0200_20150428_006999	$Você se preparou para derrotar a Senhora Demônio Nuaele. Fale com Kupole Arune.
QUEST_LV_0200_20150428_007000	$Derrote a Senhora Demônio Nuaele
QUEST_LV_0200_20150428_007001	{memo X}Nuaele se foi da Prisão de Demônios. Para estabilizar o local, Kupole Arune quer que você derrote os demônios restantes na primeira área isolada.
QUEST_LV_0200_20150428_007002	Ainda há demônios na quarta área isolada seguindo as ordens de Nuaele por causa de seus fragmentos. Kupole Arune quer que você derrote os monstros e obtenha os fragmentos.
QUEST_LV_0200_20150511_007003	A Entrada da Floresta Kateen é relativamente segura, mas não pense em ir além.
QUEST_LV_0200_20150511_007004	O barão está dando o melhor para purificar a fazenda. {nl}Às vezes, os trabalhadores falam coisas estranhas, mas não ligue.
QUEST_LV_0200_20150511_007005	Seria melhor ir pessoalmente, mas não posso sair daqui agora. {nl}Por favor, purifique o Sacrário usando esta Água Benta. {nl}
QUEST_LV_0200_20150511_007006	$Quero ver meu filho saudável de novo. {nl}É horrível esperar que elimine a energia maligna da maldição.
QUEST_LV_0200_20150511_007007	É a mesma coisa com fazendeiros e soldados. {nl}Um lado trabalha e o outro administra.
QUEST_LV_0200_20150511_007008	$A fonte de energia precisa da força da natureza. O que é mais adequado para isso no momento? {nl}As plantações no armazém. {nl}
QUEST_LV_0200_20150511_007009	Mesmo que o barão realmente queira a purificação. {nl}Não significa que devemos perder nossos colegas e aguentar o aluguel caro da fazenda. {nl}
QUEST_LV_0200_20150511_007010	Finalmente... Os monstros que vivem atacando o armazém de comida são um problema. {nl}Tem alguém protegendo o lugar, mas é perigoso o tempo todo.
QUEST_LV_0200_20150511_007011	O barão tem uma má reputação pelas coisas que fez. {nl}E as coisas estranhas acontecendo ultimamente... Tenho certeza de que há algo suspeito. {nl}
QUEST_LV_0200_20150511_007012	Que tal pegar gravetos dos Dentes-de-leão Laranja da área para manter o fogo aceso?
QUEST_LV_0200_20150511_007013	$Não é fácil obter amostras. {nl}Também não tenho tempo para examiná-las.
QUEST_LV_0200_20150511_007014	$Hmm, mesmo que não sejam ordens da Igreja, a Grande Catedral não deveria ser restaurada antes? {nl}Não seria mais fácil descobrir a verdade sobre a maldição?
QUEST_LV_0200_20150511_007015	{memo X}Inicialmente, nossa missão era administrar e tomar conta da prisão. {nl}Agora, recebemos ordens da Deusa Vakarine para deter os demônios e fechar a fenda.
QUEST_LV_0200_20150511_007016	{memo X}Hauberk acabou de passar por aqui. {nl}Ele vai tentar fugir pela barreira da Deusa que ainda não foi totalmente restaurada.
QUEST_LV_0200_20150511_007017	$Hauberk também é um pecador. {nl}Você não precisa ter compaixão.
QUEST_LV_0200_20150511_007018	Tal como pensei. O Supressor de Monstros era o problema. {nl}Servia para impedir a multiplicação dos monstros, mas quase acabou com as plantações.
QUEST_LV_0200_20150511_007019	$As abelhas são um problema, mas os monstros que vieram de outras florestas são piores. {nl}Eles certamente estão aqui por causa do mel. {nl}
QUEST_LV_0200_20150511_007020	$Era você quem Joseph estava procurando? {nl}Bom, isso não importa. {nl}Se não nos ajudar, você não é diferente dos outros Reveladores que fugiram. {nl}
QUEST_LV_0200_20150511_007021	$Ainda devem restar documentos nas profundezas da Grande Catedral. {nl}Fico triste por não poder vê-los.
QUEST_LV_0200_20150511_007022	$Estou fazendo um remédio para o peregrino amaldiçoado. {nl}Estou quase acabando, mas cardos são difíceis de encontrar.{nl}
QUEST_LV_0200_20150511_007023	Não importa que você tenha negócios aqui. É melhor ir embora se não tiver autorização.
QUEST_LV_0200_20150511_007024	$É melhor ir embora logo se veio falar sobre ‘corrupção’. {nl}Caso contrário... há outro jeito de conseguir a minha permissão.
QUEST_LV_0200_20150511_007025	$Quando você quer algo, também deve oferecer algo. {nl}Pensou que eu deixaria você entrar de graça?
QUEST_LV_0200_20150511_007026	$Seria melhor você explicar no meu lugar.{nl}Afinal, foi graças a você que Shaton se livrou daquela obsessão.
QUEST_LV_0200_20150511_007027	$Você estava roubando o ninho, então é sua responsabilidade. {nl}Mas tenho uma reputação e vou te recompensar por isso.
QUEST_LV_0200_20150511_007028	É melhor voltar rápido
QUEST_LV_0200_20150511_007029	É melhor encontrar o sacerdote
QUEST_LV_0200_20150511_007030	$Os Reveladores Vêm Primeiro
QUEST_LV_0200_20150511_007031	É melhor ir embora, pois é perigoso
QUEST_LV_0200_20150511_007032	É melhor desistir, pois é perigoso
QUEST_LV_0200_20150511_007033	{memo X}Aviso/O círculo mágico ganhou força quando você removeu os 4 cristais!#5
QUEST_LV_0200_20150511_007034	{memo X}Aviso/!/Você deve colher a energia dos monstros em um pote e enterrá-lo em frente ao círculo mágico.#5
QUEST_LV_0200_20150511_007035	{memo X}Quebrando o barril/HAMMERING/2/TRACK_BEFORE/None
QUEST_LV_0200_20150511_007036	É melhor que você faça
QUEST_LV_0200_20150511_007037	O Cervejeiro Dorjen está furioso por ter sido impedido de queimar a floresta. {nl}Tente acalmar Dorjen.
QUEST_LV_0200_20150511_007038	$Se não é o mel que eles querem, só existe uma possibilidade. Verifique o Altar Bichiu onde os monstros costumam se reunir.
QUEST_LV_0200_20150511_007039	O Cristal de Raiz de Árvore reagiu de modo estranho e corrompeu os arredores! Derrote os monstros primeiro e colete os Cernes do Cristal de Raiz de Árvore.
QUEST_LV_0200_20150511_007040	Monstros surgiram enquanto você venerava no Sacrário. Derrote os monstros primeiro.
QUEST_LV_0200_20150511_007041	{memo X}Yukirt, membro da equipe de investigação real, parece ter sentido algo. Fale com Yukirt novamente.
QUEST_LV_0200_20150511_007042	$Obtenha a dica da plataforma no Oratório Meile e obtenha a Relíquia Sagrada da Piedade. Caso tenha dificuldades, peça ajuda ao Espírito de Aurelius.
QUEST_LV_0200_20150511_007043	É estranho encontrar um barril de vinho jogado aqui. Vá até lá e dê uma olhada.
QUEST_LV_0200_20150511_007044	$Yoana quer descobrir o que é a estranha energia perto do Cruzamento Ramus. Reduza mais da metade do HP dos monstros, leve-os até a estranha energia abaixo do círculo mágico e veja o que acontece.
QUEST_LV_0200_20150511_007045	Só a força da Deusa Vakarine não é o suficiente para fechar a fenda dimensional. Fale com a Deusa Vakarine.
QUEST_LV_0200_20150511_007046	Nuaele se foi da Prisão de Demônios. Para estabilizar o local, Kupole Arune quer que você derrote os demônios restantes na primeira área isolada.
QUEST_LV_0200_20150714_007047	$Realmente, quero ajudar os soldados tentando purificar a Floresta Espinhosa.{nl}Infelizmente, não tenho como fazer isso. Você pode dar um jeito nas Assombrações Arbóreas incomodando os soldados?
QUEST_LV_0200_20150714_007048	Aqui é perigoso. Volte para a cidade.{nl} O que os soldados estão fazendo?{nl}
QUEST_LV_0200_20150714_007049	$Ah, você é o Revelador? {nl}Tenho um problema, mas com você aqui, talvez não seja tão ruim. {nl}Posso tomar um pouco do seu tempo?
QUEST_LV_0200_20150714_007050	Você sabe que somos a unidade enviada para cuidar de Gaigalas?{nl} Recruta! Entregue este relatório ao Comandante Wallace.
QUEST_LV_0200_20150714_007051	Se nos livrarmos de Gaigalas, as coisas podem melhorar.{nl}Por favor, encontre a Coruja Preocupada.
QUEST_LV_0200_20150714_007052	$Mintz, Capitão dos Caçadores
QUEST_LV_0200_20150714_007053	Que encheção de saco.{nl} Como vamos convencer os monges?
QUEST_LV_0200_20150714_007054	Ei, você. Conhece uma pessoa chamada Evoniphon?
QUEST_LV_0200_20150714_007055	Espero que isso seja tudo.{nl}Parece que a reputação dos Caçadores não é muito boa por aqui.
QUEST_LV_0200_20150714_007056	As coisas estão dando certo?{nl}Espero ter boas notícias em breve.
QUEST_LV_0200_20150714_007057	Por favor, ajude Natasha.{nl}É uma boa garota, só um pouco inexperiente...
QUEST_LV_0200_20150714_007058	Felizmente, isso pode ser resolvido sem gerar conflito com os monges.{nl}Confio em você para cuidar desse assunto.
QUEST_LV_0200_20150714_007059	Na maior parte do tempo, tente satisfazer as demandas do monge.{nl}Vamos ajudar da forma que pudermos.
QUEST_LV_0200_20150714_007060	Que bom saber que Natasha está bem.{nl} Desejo o melhor no Pântano Raoki.
QUEST_LV_0200_20150714_007061	Ótimo. Finalmente, é hora de recuperar o mosteiro.{nl}Vamos usar nosso poder por muito tempo.
QUEST_LV_0200_20150714_007062	Chegamos tão longe com a sua ajuda, Revelador.{nl}Só precisamos esperar que cuidem bem de Evoniphon. Vamos.
QUEST_LV_0200_20150714_007063	Monge Superior Potos
QUEST_LV_0200_20150714_007064	O que lhe traz aqui?{nl}Como as circunstâncias não são as mesmas, vamos dar nosso melhor para ajudar você.
QUEST_LV_0200_20150714_007065	Se você veio visitar o mosteiro, sinto muito.{nl}Estamos assim desde que os monstros atacaram.
QUEST_LV_0200_20150714_007066	As Deusas nos ensinaram a receber todos com cordialidade.{nl}Por causa das dificuldades que estamos enfrentando, não conseguimos fazer isso com os Caçadores. Eu me arrependo disso...
QUEST_LV_0200_20150714_007067	Se aquela armadilha foi feita por Evoniphon, ficarei ao lado dos Caçadores.{nl}Nenhuma desculpa pode ser comparada à dor de nossos irmãos.
QUEST_LV_0200_20150714_007068	O Irmão Marko está na Floresta de Viltis e Guus está no Pântano Laukyme.{nl}Sem o apoio deles, é impossível convencer o abade.
QUEST_LV_0200_20150714_007069	Eu apoio os Caçadores, mas não sei o que os outros monges superiores estão pensando.{nl}Porém, não devemos ter problemas se conseguirmos provas.
QUEST_LV_0200_20150714_007070	Monge Wiley
QUEST_LV_0200_20150714_007071	Meu coração dói ao ver meus irmãos sofrendo.{nl}Estou me esforçando para cuidar deles, mas tenho um pouco de medo.
QUEST_LV_0200_20150714_007072	Meus irmãos são minha prioridade, não os Caçadores ou o mosteiro.{nl}Estou rezando para as Deusas para que eles se recuperem o quanto antes.{nl}
QUEST_LV_0200_20150714_007073	Caçadora Reina
QUEST_LV_0200_20150714_007074	Você deve ter cuidado ao atravessar esta floresta.{nl}Está cheia de armadilhas.
QUEST_LV_0200_20150714_007075	Você não parece ser um monge... Você sabe alguma coisa sobre Evoniphon?{nl}Ouvi dizer que fizeram uma bagunça perto da fazenda em Klaipeda.
QUEST_LV_0200_20150714_007076	Mesmo tomando este antídoto, a paralisia não passa.{nl}Porém, como Caçadora, não posso voltar até cumprir minha tarefa.
QUEST_LV_0200_20150714_007077	Não sei quantas pessoas estão sofrendo por culpa de Evoniphon.{nl}Em outras palavras, Evoniphon é ‘demais’.
QUEST_LV_0200_20150714_007078	Monge Superior Marko
QUEST_LV_0200_20150714_007079	O abade está preso no mosteiro, que está cheio de monstros. Mas mencionar Evoniphon...{nl}Eles não deviam ser tão rudes. Você não acha?
QUEST_LV_0200_20150714_007080	Se vai falar sobre os Caçadores, eu me recuso a ouvir.{nl}São pessoas rudes.
QUEST_LV_0200_20150714_007081	Ele mal entrou aqui e desmaiou.{nl}Acho que está respirando, por enquanto...
QUEST_LV_0200_20150714_007082	Boros! Acorde, Boros!
QUEST_LV_0200_20150714_007083	Eu me arrependo de ter sido tão rígido com os Caçadores.{nl}Espero que minha decisão os ajude.
QUEST_LV_0200_20150714_007084	Você deve encontrar Guus no Pântano Laukyme.{nl}Porém, como você não tem provas decisivas contra Evoniphon... Não posso garantir que ele retire a proteção.
QUEST_LV_0200_20150714_007085	Caçadora Natasha
QUEST_LV_0200_20150714_007086	Convencer alguém é tão difícil.{nl}Espero que alguém me ajude...
QUEST_LV_0200_20150714_007087	O que o Capitão Mintz faria se estivesse na minha situação?
QUEST_LV_0200_20150714_007088	Ajude como puder no que eles estão tentando fazer.{nl}Nós, Caçadores, também vamos ajudar.
QUEST_LV_0200_20150714_007089	Eu devia ter sugerido ajudar a recuperar o mosteiro desde o início.{nl}Não tive paciência.
QUEST_LV_0200_20150714_007090	Vou cuidar dele, então, não se preocupe muito. Vá até o Pântano Laukyme.
QUEST_LV_0200_20150714_007091	Você pode chegar ao Pântano Laukyme subindo a Estrada da Encosta da Clareira.{nl}Na volta, fale com Mintz, Capitão dos Caçadores.
QUEST_LV_0200_20150714_007092	Caçador Bastille
QUEST_LV_0200_20150714_007093	Você está indo para o Mosteiro de Tyla?{nl}Os monstros de lá já estão venerando.
QUEST_LV_0200_20150714_007094	Imprudente, imprudente.{nl}Fui tão imprudente...
QUEST_LV_0200_20150714_007095	Monge Chad
QUEST_LV_0200_20150714_007096	Por favor, não se aproxime daqueles Caçadores.{nl}Eles são incrivelmente rudes.
QUEST_LV_0200_20150714_007097	Eu não gosto dos Caçadores.{nl}Espero que não mudem de ideia por estarmos protegendo Evoniphon.
QUEST_LV_0200_20150714_007098	Monge Superior Guus
QUEST_LV_0200_20150714_007099	Caso seja o peregrino que veio conhecer o Mosteiro de Tyla, sinto muito.{nl}O lugar foi dominado por monstros...
QUEST_LV_0200_20150714_007100	Eu não sei o que as Deusas diriam se vissem isso...{nl}Que sombrio...
QUEST_LV_0200_20150714_007101	Isso é tudo o que sei sobre Evoniphon.{nl}Acho que não há nada especial fora isso.
QUEST_LV_0200_20150714_007102	Caso precise saber mais sobre Evoniphon, fale comigo quando quiser.{nl}Vou responder tudo o que sei sobre ele.
QUEST_LV_0200_20150714_007103	Finalmente, estamos perto do Mosteiro de Tyla.{nl}Queremos atacar, mas também precisamos pensar nos monges.
QUEST_LV_0200_20150714_007104	Para derrotar Evoniphon, faremos qualquer coisa.{nl}Para o povo da Torre das Estrelas, ele é uma criatura impressionante.
QUEST_LV_0200_20150714_007105	Monge Jones
QUEST_LV_0200_20150714_007106	Isso parece um pesadelo.{nl}Não faz tanto tempo que estávamos estudando escrituras e levando água até o mosteiro.
QUEST_LV_0200_20150714_007107	Sei que sou patético, pois os monstros me expulsaram...{nl}Mas estou mais preocupado com o abade que está rezando no pavilhão de oração sem saber de nada.
QUEST_LV_0200_20150714_007108	Monge Jeffrey
QUEST_LV_0200_20150714_007109	Há muito tempo, esta floresta estava cheia de espinhos, tal como a Floresta de Sirdgela.{nl}Depois da purificação, pensamos que os monstros tinham sido eliminados... Mas foi só uma ilusão.
QUEST_LV_0200_20150714_007110	Eu só quero saber de onde esses monstros vêm.{nl}Depois da purificação, os únicos monstros estavam perdidos.
QUEST_LV_0200_20150714_007111	Ei! Acorde!{nl}Você consegue me ouvir?
QUEST_LV_0200_20150714_007112	Ele desmaiou. Felizmente, ainda está respirando.{nl}Mas a fratura é séria.
QUEST_LV_0200_20150714_007113	Evoniphon, seu...
QUEST_LV_0200_20150714_007114	Felizmente, os órgãos internos parecem bem.{nl}Mas não posso curá-lo, transportando-o para outros lugares.
QUEST_LV_0200_20150714_007115	Eu vou cuidar da parte externa do mosteiro.{nl}Em nome das Deusas, desejo boa sorte.
QUEST_LV_0200_20150714_007116	Já estamos prontos.{nl}Embora não possa ajudar a salvar o abade, vou dar o meu melhor aqui.
QUEST_LV_0200_20150714_007117	O pavilhão de oração onde o abade está é seguro.{nl}Ainda assim, precisamos salvá-lo.
QUEST_LV_0200_20150714_007118	Já fizemos os preparativos.{nl}Fale com Guus quando puder ir.
QUEST_LV_0200_20150714_007119	Você ficará comigo e com Guus.{nl}Se tiver terminado, fale com Guus.
QUEST_LV_0200_20150714_007120	Caçadores podem se mover como querem.{nl}Farei o meu melhor pela primeira vez em muito tempo.
QUEST_LV_0200_20150714_007121	Moheim é inteligente. Deve ter escondido bem a esfera de cristal.
QUEST_LV_0200_20150714_007122	Você não pode abrir sem a esfera de cristal.{nl}A menos que o próprio abade a abra...
QUEST_LV_0200_20150714_007123	É ótimo saber que você está bem.{nl}Enquanto você pega a esfera de cristal, vamos nos preparar para resgatar o abade.
QUEST_LV_0200_20150714_007124	Eu teria me ferido muito se não fosse você.{nl}As Deusas devem ter me ajudado.
QUEST_LV_0200_20150714_007125	Felizmente, o abade não parece saber de nada.{nl}Acho que é melhor assim. Enfim, os problemas foram resolvidos.
QUEST_LV_0200_20150714_007126	Estou menos preocupado por saber que o abade está bem.{nl}O que fazemos com Evoniphon?
QUEST_LV_0200_20150714_007127	Vou discutir isso com o abade.{nl}Por favor, espere um pouco com Mintz.
QUEST_LV_0200_20150714_007128	Ainda não terminamos de discutir.{nl}Espere mais um pouco.
QUEST_LV_0200_20150714_007129	Você partirá em breve. Que as Deusas lhe abençoem.{nl}Visite o Mosteiro de Tyla quando puder.
QUEST_LV_0200_20150714_007130	Eu me arrependo um pouco. Devíamos ter nos aliado desde o início.{nl}Acho que esqueci as lições das Deusas por um momento.
QUEST_LV_0200_20150714_007131	Estou tão feliz que o abade está bem.{nl}Estou... com vontade de chorar.
QUEST_LV_0200_20150714_007132	Eu esperava que estivesse bem, pois estava no pavilhão de oração...{nl}Mas vê-lo com meus próprios olhos me conforta mais.
QUEST_LV_0200_20150714_007133	Por favor, espere um pouco com Mintz.{nl}Vou explicar tudo, então pode levar um tempo.
QUEST_LV_0200_20150714_007134	Guus me falou sobre a carta de Evoniphon.{nl}Espere mais um pouco, pois a situação toda se encaixa.
QUEST_LV_0200_20150714_007135	Recuperamos o mosteiro e os Caçadores conseguiram o que queriam...{nl}Tudo isso é uma bênção das Deusas.
QUEST_LV_0200_20150714_007136	Sem a sua ajuda, sei que não seria tão fácil assim.{nl}Ouvi histórias sobre vários Reveladores, mas você é o único que vi pessoalmente.
QUEST_LV_0200_20150714_007137	Monge Moheim
QUEST_LV_0200_20150714_007138	É ótimo termos recuperado o mosteiro...{nl}Mas está uma bagunça.
QUEST_LV_0200_20150714_007139	Precisamos nos livrar dos monstros ou limpar esse lugar...{nl}É o problema que temos no momento.
QUEST_LV_0200_20150714_007140	Agora é a melhor chance de capturar Evoniphon.{nl}Estamos cercando o mosteiro. Acho que nem mesmo ele conseguiria fugir.
QUEST_LV_0200_20150714_007141	Você viu Evoniphon?{nl}Ele não está aqui. É melhor descer mais um pouco.
QUEST_LV_0200_20150714_007142	Por favor, reze para capturarmos Evoniphon.{nl}Desejo-lhe sorte.
QUEST_LV_0200_20150714_007143	Não se preocupe, Revelador. Siga o seu caminho. As pessoas só desmaiaram temporariamente.{nl}Espero ver você na próxima vez para algo melhor do que Evoniphon.
QUEST_LV_0200_20150714_007144	Perdi vários colegas por causa da Geada de Pedra.{nl}Não entendo por que estou aqui ajudando uma Cronomante novata.
QUEST_LV_0200_20150714_007145	Além disso, não sabemos quando aqueles monstros violentos vão atacar.{nl}Não importa o que você faça, só dê um jeito nesses monstros.
QUEST_LV_0200_20150714_007146	Ainda estamos tristes com a perda de nossos colegas.{nl}Infelizmente, precisamos cuidar daquela mulher em um momento assim.
QUEST_LV_0200_20150714_007147	Agradeço. Podemos ficar seguros aqui por algum tempo.
QUEST_LV_0200_20150714_007148	Nossos colegas foram atacados pela Geada de Pedra... estão lá, expostos à chuva e ao vento.{nl}Além disso, temos suporte limitado... Nossa única opção é esperar.{nl}
QUEST_LV_0200_20150714_007149	Mas aqueles malditos monstros! Estão atacando nossos colegas.{nl}Por favor. Você pode proteger os nossos colegas por um tempo?
QUEST_LV_0200_20150714_007150	Meu velho amigo Galen é uma das vítimas. {nl}Por favor, proteja-o.
QUEST_LV_0200_20150714_007151	Agradeço muito.{nl}Espero que os reforços cheguem logo para que ele volte para a família, mesmo petrificado.
QUEST_LV_0200_20150714_007152	Não os tratamos mal, mas eles nos traíram.{nl}Os Ladrões Dico roubaram nossos suprimentos.{nl}
QUEST_LV_0200_20150714_007153	{memo X}Devem ter levado para as Ruínas de Adoração de Drasa. Como não posso sair daqui, acho que vamos morrer.{nl}Desculpe, mas você pode recuperar os suprimentos roubados pelos ladrões?
QUEST_LV_0200_20150714_007154	Há algumas décadas, os ladrões atacaram o acampamento e roubaram os suprimentos em segredo.{nl}Foram punidos por isso, mas acho que se esqueceram.
QUEST_LV_0200_20150714_007155	Eles chamaram nossa atenção e roubaram tudo pelas costas.{nl}Devemos fazer alguma coisa, mas nossos chefes estão lutando contra os Cavaleiros de Kaliss. {nl}
QUEST_LV_0200_20150714_007156	Temos mais um problema.{nl}Sabina, uma Cavaleira de Kaliss.{nl}
QUEST_LV_0200_20150714_007157	Estão insistindo que não vão voltar até encontrarem os artefatos.{nl}Não podemos sair daqui, então não sei o que esperam de nós...
QUEST_LV_0200_20150714_007158	A cidade que foi destruída há centenas de anos não tem recursos ou pessoas a proteger.{nl}Parece que estou protegendo um local histórico. Tem até ladrões de túmulos aqui.
QUEST_LV_0200_20150714_007159	Só espero que Sabina fique calma.{nl}Não queremos acabar como eles por causa da Geada de Pedra.
QUEST_LV_0200_20150714_007160	Não é fácil expulsar os soldados do reino.{nl}Quero saber a verdade. A verdade que os soldados odeiam.{nl}
QUEST_LV_0200_20150714_007161	Preciso da sua ajuda, pois você não parece estar de nenhum lado.{nl}Você pode fazer cópias dos registros que restam aqui?
QUEST_LV_0200_20150714_007162	Esses registros são da época que a Fortaleza da Terra desabou.{nl}Talvez possamos descobrir mais sobre a Fortaleza da Terra no quartel-general de Ruklys.
QUEST_LV_0200_20150714_007163	Mas não é possível entrar na Fortaleza da Terra. Os soldados do reino estão restringindo o acesso.{nl}Até para os Cavaleiros de Kaliss.{nl}
QUEST_LV_0200_20150714_007164	Talvez... possamos restaurar o tempo do portal usado quando recuamos da Fortaleza da Terra.{nl}As coisas vão ficar perigosas. Se quiser desistir, fale agora.
QUEST_LV_0200_20150714_007165	O que estamos planejando pode nos levar à forca.{nl}Por favor, mantenha segredo.
QUEST_LV_0200_20150714_007166	{memo X}Na época do Premiê Eminente, tínhamos apoio das tropas superiores, vários suprimentos etc.{nl}Mas o Premiê Eminente já morreu há 600 anos.{nl}
QUEST_LV_0200_20150714_007167	Não importa o tamanho da rebelião. Depois do Medzio Diena, nosso suporte diminuiu. A questão é por que devemos continuar aqui. Por 600 anos?
QUEST_LV_0200_20150714_007168	Ouvi dizer que os Ladrões Dico eram bem conhecidos.{nl}Dizem que eles foram separados no Medzio Diena... Enfim... o que estão fazendo é bandidagem.{nl}
QUEST_LV_0200_20150714_007169	Também conheço ladrões chamados Ladrões Amanda. Eram silenciosos.{nl}Quero saber se realmente existem, pois eu nunca os vi antes.{nl}
QUEST_LV_0200_20150714_007170	Ambos são criminosos que precisamos capturar quando recebermos reforços.{nl}Principalmente, os Ladrões Dico.
QUEST_LV_0200_20150714_007171	Estamos observando os pesquisadores dos Cavaleiros de Kaliss enquanto fingimos ser seus guardas.{nl}Sabina fazia parte.{nl}
QUEST_LV_0200_20150714_007172	Eles desaparecem e reaparecem usando os artefatos restantes na cidade. É difícil persegui-los.{nl}Mas os Cronomantes estavam investigando os portais?{nl}
QUEST_LV_0200_20150714_007173	Agradeço muito a sua bondade, mas não será fácil. Se fosse fácil, já os teríamos encontrado.{nl}Não sei por que, mas os monstros comeram os artefatos.
QUEST_LV_0200_20150714_007174	$Esta é a cidade amaldiçoada do traidor, Ruklys.{nl}Foi amaldiçoada com a Geada de Pedra desde o fim da rebelião.{nl}
QUEST_LV_0200_20150714_007175	$Vamos permitir sua entrada, pois os Cavaleiros de Kaliss solicitaram.{nl}Mas, por favor, não suma da nossa vista.
QUEST_LV_0200_20150714_007176	$Eu não sei o quão incrível você foi no passado.{nl}Porém, você deve seguir as regras do reino aqui.
QUEST_LV_0200_20150714_007177	Benas pediu para protegermos a rota que leva à Fortaleza da Terra.{nl}Ah, ele é o comandante dos soldados desta região.{nl}
QUEST_LV_0200_20150714_007178	Se você puder derrotar os monstros nas ruínas, será uma forma de ajudar as Deusas e o reino.{nl}Claro, prometo lhe recompensar por isso.{nl}
QUEST_LV_0200_20150714_007179	Não será ruim nos causar uma boa impressão.{nl}Porque esta terra é governada pelos soldados do reino.
QUEST_LV_0200_20150714_007180	Não foi obra dos ladrões. Estamos levando os objetos para lugares onde possam ter mais valor.{nl}É bem melhor do que desaparecerem aqui.
QUEST_LV_0200_20150714_007181	Nada mau.{nl}Acho que os boatos não eram exagero.
QUEST_LV_0200_20150714_007182	Estamos ativando os detectores por causa das Geadas de Pedra irregulares.{nl}Porém, graças a uma batalha recente, não há nenhum soldado para verificar isso.{nl}
QUEST_LV_0200_20150714_007183	Se você puder fazer isso,{nl}é uma forma de ser leal ao reino e dar continuidade à determinação.
QUEST_LV_0200_20150714_007184	Há monstros tentando atacar os soldados que cuidam do dispositivo.{nl}Cuidado.
QUEST_LV_0200_20150714_007185	As Geadas de Pedra devem ser afastadas dos dois locais.{nl}Ouvi dizer que você é um Revelador bem famoso. Não é?{nl}
QUEST_LV_0200_20150714_007186	Há algum tempo, mais soldados têm sido atacados pelo Sparnas de Chifres perto dos detectores.{nl}Se você é a pessoa dos boatos, deve ser capaz de enfrentar o monstro.{nl}
QUEST_LV_0200_20150714_007187	Aqueles soldados sobreviveram à Geada de Pedra e ao Sparnas de Chifres.{nl}Eles estão cegos de medo e não conseguem enfrentar o Sparnas de Chifres. Eles também não têm a menor chance.
QUEST_LV_0200_20150714_007188	As Geadas de Pedra estão um pouco atrasadas.{nl}Não há como fugirmos da punição causada por Ruklys.
QUEST_LV_0200_20150714_007189	Agora só falta o Sparnas de Chifres... Derrote-o rápido e fuja de lá.{nl}Nem mesmo um grande Revelador pode suportar a Geada de Pedra.
QUEST_LV_0200_20150714_007190	Recuar também é uma tática, mas nem sempre podemos.{nl}Precisamos terminar isso enquanto temos um voluntário leal e competente como você.
QUEST_LV_0200_20150714_007191	Ouvir que foi derrotado foi a história mais esperançosa que ouvi em anos. {nl}Agora é melhor deixar as tropas descansarem e contar a boa notícia.
QUEST_LV_0200_20150714_007192	Posso não te conhecer, mas estou feliz em te ver.{nl}É bom encontrar alguém aqui. Todos deveriam se ajudar.{nl}
QUEST_LV_0200_20150714_007193	Por exemplo, ajude a eliminar os monstros no nosso local de trabalho.{nl}O local de reunião. O que você acha? Pode nos ajudar?
QUEST_LV_0200_20150714_007194	O tipo de trabalho que eu faço é secreto, então não posso contar o que é. {nl}Essas coisas não são de ninguém mesmo. Achado não é roubado.
QUEST_LV_0200_20150714_007195	Que rápido! Você não deixou passar nenhum dos monstros?{nl}Haha. Aqueles soldados covardes não vão chegar perto daqui. Não se preocupe.
QUEST_LV_0200_20150714_007196	Quer saber como cheguei aqui? {nl}É porque eu tenho contatos. Alguns soldados do reino compram garras de monstros para aumentar o registro de trabalho.{nl}
QUEST_LV_0200_20150714_007197	Mas, na verdade, eu não quero ficar perto desses monstros. Principalmente aqui.{nl}Se conseguir as garras para mim, podemos ter uma grande amizade.
QUEST_LV_0200_20150714_007198	Acho que você entendeu alguma coisa errada.{nl}Somos arqueólogos, não ladrões.
QUEST_LV_0200_20150714_007199	Agradeço muito, colega.{nl}Embora isso pareça bem polido.
QUEST_LV_0200_20150714_007200	Vou lhe contar uma coisa. Espero que não queira conseguir algo aqui.{nl}Além de nós, há os perigosos Ladrões Dico.{nl}
QUEST_LV_0200_20150714_007201	Eu não quero vê-los da mesma forma que aqueles soldados.{nl}Os itens que eles trouxeram de fora estão empilhados na entrada da muralha externa... {nl}O que aconteceria se tudo sumisse?
QUEST_LV_0200_20150714_007202	Eu dei uma olhada, mas parece que eles ainda não voltaram.{nl}Ande logo.
QUEST_LV_0200_20150714_007203	Parece que os Ladrões Dico pretendem aumentar seus negócios mais do que pensei. {nl}Isso é muita coisa. Você acha que eles têm conexões com o Exército Real?
