QUEST_LV_0200_20150317_000001	Soldado de Philipas
QUEST_LV_0200_20150714_008640	Natasha quer que voc?conven? Guus. Fale com o Monge Superior Guus.
QUEST_LV_0200_20150714_008641	O Monge Superior Guus est?muito tenso. Tente convenc?lo novamente.
QUEST_LV_0200_20150714_008642	Derrote Hep?icas e Pedracons e obtenha provas
QUEST_LV_0200_20150714_008643	Guus quer que voc?mostre a habilidade necess?ia para recuperar o Mosteiro. Derrote Hep?icas e Pedracons da regi? e traga as provas.
QUEST_LV_0200_20150714_008644	Entregue-as para o Monge Superior Guus
QUEST_LV_0200_20150714_008645	Isso deve satisfazer Guus. Entregue as provas para Guus.
QUEST_LV_0200_20150714_008646	Guus reconheceu o seu valor. Fale com ele novamente.
QUEST_LV_0200_20150714_008647	Guus quer que voc?avise os Ca?dores para se reunirem em frente ?entrada do Mosteiro. Transmita a mensagem de Guus para Natasha.
QUEST_LV_0200_20150714_008648	A Ca?dora Natasha est?procurando provas cruciais contra Evoniphon enquanto os monges e os Ca?dores se re?em em frente ?entrada do Mosteiro. Pergunte os detalhes para o Monge Superior Guus.
QUEST_LV_0200_20150714_008649	Guus mencionou o caso de um homem morto que pode estar ligado a Evoniphon. Informe Natasha.
QUEST_LV_0200_20150714_008650	A Ca?dora Natasha quer descobrir o que Evoniphon queria do homem morto. Fale com Natasha novamente.
QUEST_LV_0200_20150714_008651	Investigue o t?ulo na ea de Repouso Fasadu
QUEST_LV_0200_20150714_008652	Encontre o t?ulo do homem assassinado pelo veneno de Evoniphon e procure pistas ligadas a ele.
QUEST_LV_0200_20150714_008653	Voc?encontrou um livro com algo escrito. Mostre o livro para a Ca?dora Natasha.
QUEST_LV_0200_20150714_008654	Os detalhes do que Evoniphon fez est? no livro antigo do viajante. Mostre a carta para Guus e fale com ele.
QUEST_LV_0200_20150714_008655	It seems as if Goss has also found out about Ebonypawn's identity. Talk to Hunter Natasha and prepare to charge to Tyla Monastery.
QUEST_LV_0200_20150714_008656	Enter Tyla Monastery
QUEST_LV_0200_20150714_008657	H?v?ios monges e Ca?dores reunidos no Mosteiro de Tyla. V?at?a entrada do Mosteiro de Tyla.
QUEST_LV_0200_20150714_008658	Fale com o Monge Jones
QUEST_LV_0200_20150714_008659	O Monge Jones parece ansioso. Pergunte o que aconteceu.
QUEST_LV_0200_20150714_008660	Derrote Hep?icas e Pedracons
QUEST_LV_0200_20150714_008661	O Monge Jones parece inseguro por causa dos monstros perto de seus colegas. Derrote Hep?icas e Pedracons.
QUEST_LV_0200_20150714_008662	O n?ero de monstros diminuiu um pouco. Fale com o Monge Jones e confirme que eles est? seguros.
QUEST_LV_0200_20150714_008663	Derrote Hep?icas
QUEST_LV_0200_20150714_008664	Derrote Pedracons
QUEST_LV_0200_20150714_008665	O Monge Jones precisa de ajuda. Fale com ele.
QUEST_LV_0200_20150714_008666	Pegue Hidr?itas Acylado
QUEST_LV_0200_20150714_008667	Jones says that he requires Acylado Hydrophyte for the Essence of Water. Collect Acylado Hydrophyte from Difference Marsh or Minia Flooding Area.
QUEST_LV_0200_20150714_008668	Entregue-as para o Monge Jones
QUEST_LV_0200_20150714_008669	Voc?conseguiu Hidr?itas Acylado suficientes. Entregue-as para Jones.
QUEST_LV_0200_20150714_008670	Obtenha %s no local que est?borbulhando
QUEST_LV_0200_20150714_008671	Fale com o Monge Jeffrey
QUEST_LV_0200_20150714_008672	Jeffrey est?parado na estrada do Mosteiro. Fale com ele.
QUEST_LV_0200_20150714_008673	Derrote os monstros na Encruzilhada Kalna.
QUEST_LV_0200_20150714_008674	Jeffrey quer que voc?derrote os monstros na entrada para recuperar o Mosteiro. Derrote os monstros na Encruzilhada Kalna.
QUEST_LV_0200_20150714_008675	Voc?derrotou monstros suficientes. Fale com Jeffrey.
QUEST_LV_0200_20150714_008676	Derrote os monstros em frente ao Mosteiro.
QUEST_LV_0200_20150714_008677	Miss? para Recuperar o Mosteiro
QUEST_LV_0200_20150714_008678	Os monges e Ca?dores est? reunidos no Mosteiro. Ajude-os a retomar o Mosteiro dos monstros.
QUEST_LV_0200_20150714_008679	Abra caminho pelo Sal? Apmas
QUEST_LV_0200_20150714_008680	Guus quer que voc?v?at?o Pavilh? de Orao e enfrente os monstros no caminho. Enfrente os monstros com Guus e Mintz.
QUEST_LV_0200_20150714_008681	Voc?abriu caminho pelo Sal? Apmas. Fale com Guus para prosseguir.
QUEST_LV_0200_20150714_008682	Derrote os monstros no Sal? Apmas
QUEST_LV_0200_20150714_008683	Voc?ainda tem um longo caminho at?o Pavilh? de Orao. Fale com Monge Superior Guus para prosseguir.
QUEST_LV_0200_20150714_008684	Invada o Sal? Raktika
QUEST_LV_0200_20150714_008685	O pr?imo objetivo ?invadir o Sal? Raktika ao norte. Destrua a estranha protuber?cia atraindo monstros e saia do Sal? Raktika com Guus.
QUEST_LV_0200_20150714_008686	Voc?conseguiu eliminar a estranha protuber?cia que estava atraindo os monstros ao Sal? Raktika. V?at?a pr?ima ?ea com o Monge Superior Guus.
QUEST_LV_0200_20150714_008687	Elimine a estranha protuber?cia que atrai os monstros
QUEST_LV_0200_20150714_008688	O Monge Superior Guus disse que metade da miss? foi cumprida. Fale com ele para continuar lutando a caminho do Pavilh? de Orao.
QUEST_LV_0200_20150714_008689	Abra caminho at?a Fonte Viltis
QUEST_LV_0200_20150714_008690	Enfrente o bando de monstros no corredor e v?at?a Fonte Viltis. O Pavilh? de Orao fica logo depois!
QUEST_LV_0200_20150714_008691	Jones says that he requires Acylado Hydrophyte for the Essence of Water. Collect Acylado Hydrophyte from Difference Marsh or Minia Flooding Area.
QUEST_LV_0200_20150714_008692	Voc?ajudou Guus a liberar a barreira depois de chegar ?Fonte Viltis. Fale com ele e v?at?a entrada do Pavilh? de Orao.
QUEST_LV_0200_20150714_008693	O Tetraboi surgiu de repente! Derrote o Tetraboi e v?at?a entrada do Pavilh? de Orao.
QUEST_LV_0200_20150714_008694	V?at?a entrada do Pavilh? de Orao
QUEST_LV_0200_20150714_008695	Voc?protegeu o Pavilh? de Orao. V?at?o Pavilh? de Orao.
QUEST_LV_0200_20150714_008696	Os Ca?dores e os monges est? reunidos em frente ao Pavilh? de Orao. Fale com o Monge Superior Guus e pergunte como invocar o abade.
QUEST_LV_0200_20150714_008697	Preparativos para a invocao
QUEST_LV_0200_20150714_008698	O Monge Superior Guus est?se preparando para invocar o abade no Pavilh? de Orao. Pergunte se voc?pode ajudar com algo.
QUEST_LV_0200_20150714_008699	Fale com o Monge Moheim
QUEST_LV_0200_20150714_008700	Voc?precisa de uma Esfera de Cristal para abrir a porta do Pavilh? de Orao. Encontre o Monge Moheim que guarda a Esfera de Cristal.
QUEST_LV_0200_20150714_008701	O Monge Moheim parece lembrar onde a Esfera de Cristal est? Pergunte a ele onde voc?pode encontr?la.
QUEST_LV_0200_20150714_008702	Procure a Esfera de Cristal na caixa de madeira na Sala de Recepo
QUEST_LV_0200_20150714_008703	Moheim guardou a Esfera de Cristal na caixa de madeira na Sala de Recepo. Procure a caixa de madeira no Mosteiro.
QUEST_LV_0200_20150714_008704	Voc?encontrou a Esfera de Cristal na caixa de madeira. Entregue-a para Guus.
QUEST_LV_0200_20150714_008705	Tudo parece estar preparado. Fale com o Monge Superior Guus para invocar o abade.
QUEST_LV_0200_20150714_008706	Invoque o abade.
QUEST_LV_0200_20150714_008707	Para invocar o abade, Guus est?tentando manipular o dispositivo no Pavilh? de Orao. Espere at?o dispositivo ser ativado.
QUEST_LV_0200_20150714_008708	Fale com o abade
QUEST_LV_0200_20150714_008709	O abade saiu do pavilh?. Diga a ele o que aconteceu at?agora.
QUEST_LV_0200_20150714_008710	O abade saiu do pavilh?. Pe?-o para retirar a proteo de Evoniphon.
QUEST_LV_0200_20150714_008711	O abade n? decidir?t? r?ido. Enquanto ele discute com os monges superiores, encontre Mintz, Capit? dos Ca?dores.
QUEST_LV_0200_20150714_008712	Depois de consultar os monges superiores, o abade finalmente percebeu as reais intenes de Evoniphon. Fale com ele.
QUEST_LV_0200_20150714_008713	A decis? sobre o que fazer com Evoniphon foi tomada. Fale com o abade.
QUEST_LV_0200_20150714_008714	Procure Evoniphon, o Assassino.
QUEST_LV_0200_20150714_008715	O abade quer que voc?expulse Evoniphon do Mosteiro. Procure Evoniphon no Mosteiro.
QUEST_LV_0200_20150714_008716	Infelizmente, Evoniphon fugiu e Mintz, Capit? dos Ca?dores, foi ferido. Fale com ele.
QUEST_LV_0200_20150714_008717	O Monge Superior Potos acha que as estranhas protuber?cias espalhadas pelo Mosteiro est? atraindo os monstros. Fale com ele.
QUEST_LV_0200_20150714_008718	Elimine a protuber?cia fedorenta
QUEST_LV_0200_20150714_008719	Potos quer que voc?elimine a protuber?cia que est?espalhando o odor que atrai os monstros. Use o rem?io l?uido para elimin?los e evitar que voltem.
QUEST_LV_0200_20150714_008720	Voc?eliminou a protuber?cia. Fale com Potos.
QUEST_LV_0200_20150714_008721	O Monge Moheim est?preocupado com os monstros no Mosteiro. Fale com ele.
QUEST_LV_0200_20150714_008722	Derrote os monstros no Mosteiro
QUEST_LV_0200_20150714_008723	Ainda h?v?ios monstros no Mosteiro. Derrote os monstros restantes.
QUEST_LV_0200_20150714_008724	Voc?reduziu bastante o n?ero de monstros. Fale com Moheim.
QUEST_LV_0200_20150714_008725	Derrote os monstros no Mosteiro
QUEST_LV_0200_20150714_008726	Moheim est?com dificuldades para limpar o Mosteiro. Fale com Moheim.
QUEST_LV_0200_20150714_008727	Procure a escritura no Mosteiro de Tyla
QUEST_LV_0200_20150714_008728	Moheim quer que voc?procure as p?inas espalhadas da escritura. Encontre as p?inas espalhadas pelo Mosteiro e entregue-as para Moheim.
QUEST_LV_0200_20150714_008729	Entregue-as para Moheim
QUEST_LV_0200_20150714_008730	Voc?encontrou todas as p?inas. Entregue-as para Moheim.
QUEST_LV_0200_20150717_008731	Parece que agora h?mais monstros do que quando eu sa?da torre.{nl}N? sei o que aconteceu...{nl}
QUEST_LV_0200_20150717_008732	Isso, muito bom... Vou ativ?lo somente quando a Geada de Pedra cair.{nl}Devo conseguir n?leo do detector em algum lugar.
QUEST_LV_0200_20150717_008733	Se conseguir o n?leo do detector, eu fa? o resto.{nl}Voc?contribuiu muito para este experimento. Vou lhe dar os efeitos do S?bolo de Sedimento.{nl}Embora n? v?durar muito...
QUEST_LV_0200_20150717_008734	H?muito tempo, esta costumava ser uma grande cidade comparada a Klaipeda ou Fedimian.{nl}Em todos os aspectos. Tamb? era um importante distrito comercial.{nl}
QUEST_LV_0200_20150717_008735	Mas isso foi quando a cidade pertencia aos humanos. {nl}Os monstros est? se adaptando mais r?ido que os humanos.
QUEST_LV_0200_20150717_008736	Por causa da Geada de Pedra, n? conseguimos encontrar vest?ios dos corpos das v?imas sacrificadas na rebeli? de Ruklys.{nl}Mas as almas furiosas est? profundamente enraizadas na cidade.{nl}
QUEST_LV_0200_20150717_008737	Acenda a fogueira que preparei na Fortaleza Vienti.{nl}Posso ter a chance de falar com os esp?itos.
QUEST_LV_0200_20150717_008738	Coloquei a Fragr?cia de Borboleta encontrada nas profundezas da Floresta Kateen na fogueira. {nl}Tem o poder de confortar as almas.
QUEST_LV_0200_20150717_008739	Mesmo que algu? esteja em perigo,{nl}se souber que a ajuda est?a caminho, ter?energia para resistir mais tempo.
QUEST_LV_0200_20150717_008740	Um fim adequado para um m?ico louco. Teria sido perigoso sem a magia defensiva.{nl}Provavelmente, ele operou a linha errada sem saber que a primeira v?vula foi destru?a...{nl}
QUEST_LV_0200_20150717_008741	Enfim, isso ??imo.{nl}Como j?cuidamos de Antares, vamos subir.
QUEST_LV_0200_20150717_008742	Ele sempre teve curiosidade sobre o segredo da torre.{nl}Ele ficou preso porque estava obcecado demais com isso.
QUEST_LV_0200_20150717_008743	Posso dar um jeito com alguns Cernes de Infrapedraruga Vermelha. {nl}Posso conseguir fazer algo com isso mesmo sem usar magia.
QUEST_LV_0200_20150717_008744	Desculpe, mas n? posso explicar os detalhes.{nl}S?posso dizer que, usando magia, seremos descobertos pelos dem?ios.
QUEST_LV_0200_20150717_008745	Voc?viu aquele monstro explodir?{nl}Definitivamente, isso ?estranho. Como se o poder de sua ess?cia estivesse fora de controle.
QUEST_LV_0200_20150717_008746	Aquela vibrao de um tempo atr? est?me distraindo.{nl}Espero que n? seja nada.
QUEST_LV_0200_20150717_008747	Quando o ataque dos dem?ios come?u a ficar s?io, a Deusa preparou isso como precauo.{nl}Felizmente, o dispositivo est?funcionando.
QUEST_LV_0200_20150717_008748	Estamos quase no ?timo andar. S?precisamos avan?r mais um pouco.{nl}A Deusa deve estar suportando mais do que n?.
QUEST_LV_0200_20150717_008749	A Joia da Proemin?cia est?segura.{nl}Isso... ?um al?io.
QUEST_LV_0200_20150717_008750	Voc?.. ?quem a Deusa Gabija est?procurando!{nl}Por favor, ajude-me. Se as coisas continuarem assim, vamos perder a Deusa e a Torre da Maga para os dem?ios.{nl}
QUEST_LV_0200_20150717_008751	No passado, os dem?ios queriam tomar a Torre da Maga.{nl}Mas n? sempre conseguimos deter seus ataques.{nl}
QUEST_LV_0200_20150717_008752	Agora ?diferente. A maioria dos magos morreu ou fugiu.{nl}Apenas Gabija e alguns magos continuam protegendo a torre.
QUEST_LV_0200_20150717_008753	Esta ?a entrada da torre.{nl}N? posso usar magia, mas farei de tudo para levar voc?at?a Deusa Gabija.{nl}
QUEST_LV_0200_20150717_008754	Podemos ir?
QUEST_LV_0200_20150717_008755	Gabija n? desapareceu completamente.{nl}Para proteger a torre dos dem?ios, ela s?precisou se esconder.{nl}
QUEST_LV_0200_20150717_008756	Por n? ter encontrado seu sucessor, Agailla Flurry cuidou da torre.{nl}Para proteger algo precioso... ela se sacrificou.
QUEST_LV_0200_20150717_008757	Posso fazer isso por conta pr?ria.{nl}At?Gabija recuperar seu poder, vou proteger a torre.
QUEST_LV_0200_20150717_008758	Certo, v?at?o quinto andar.{nl}Entregue a Joia da Proemin?cia para Gabija!
QUEST_LV_0200_20150717_008759	Isso n? pode ser feito sem mim.{nl}Vou dar um jeito de proteger a torre. Por favor, entregue a Joia da Proemin?cia para Gabija!
QUEST_LV_0200_20150717_008760	O que ?essa vibrao?{nl}Ser?..?
QUEST_LV_0200_20150717_008761	A vibrao de novo!{nl}Antares... Agora entendi. Quando ele explodiu, a magia da torre foi interrompida.{nl}
QUEST_LV_0200_20150717_008762	A torre vai desabar se a deixarmos assim.{nl}Vamos r?ido at?a Sala de Controle M?ico!
QUEST_LV_0200_20150717_008763	Devemos tomar cuidado.{nl}Este andar era a localizao do laborat?io de Antares.
QUEST_LV_0200_20150717_008764	Que apreens?.{nl}Talvez Antares tenha sido liberado pelos ataques dos dem?ios...
QUEST_LV_0200_20150717_008765	Eu cuido de tudo enquanto Gabija recupera seu poder.{nl}Corra!{nl}
QUEST_LV_0200_20150717_008766	N? temos escolha.{nl}Precisamos desistir dos C?culos de Transporte M?ico e destruir os monstros atacando.
QUEST_LV_0200_20150717_008767	Muito bem.{nl}Por?, esta joia n? passa de uma casca vazia. Voc?pode preench?la com v?ios materiais.
QUEST_LV_0200_20150717_008768	Por fim, precisamos de Fontes de Chama.{nl}Voc?pode encontr?las com monstros que possuem o poder do fogo.
QUEST_LV_0200_20150717_008769	Sinto uma estranha energia.{nl}Parece que a Joia da Proemin?cia n? est?em seu estado normal.
QUEST_LV_0200_20150717_008770	Se Antares tivesse usado esse poder corretamente, a Torre da Maga n? teria acabado assim.{nl}Que vergonha.
QUEST_LV_0200_20150717_008771	Ah, ? Eu tamb? encomendei um solvente com o Comerciante de Itens de Fedimian.{nl}Voc?pode traz?lo?
QUEST_LV_0200_20150717_008772	Para grudar as pedras, costumamos usar Resina Pegajosa dos Magos Infragalas.{nl}Mas ?dif?il encontr?los nas Ru?as do Templo de Namu.{nl}
QUEST_LV_0200_20150717_008773	Seria mais f?il atrair um do c? do que encontrar um sem usar alimento.{nl}Como alternativa, voc?pode ir at?a Floresta de Viltis.
QUEST_LV_0200_20150717_008774	Quando entrar no Mosteiro, vamos defender a entrada do Pavilh? de Orao.{nl}Avise quando pudermos ir.
QUEST_LV_0200_20150717_008775	Meu corpo velho n? aguenta depois de desbloquear duas barreiras seguidas.{nl}Vamos para o Pavilh? de Orao agora?
QUEST_LV_0200_20150717_008776	??imo ver que voc?est?bem. {nl}Agora vamos tirar o abade de l?
QUEST_LV_0200_20150717_008777	O Pavilh? de Orao n? pode ser aberto por fora a menos que algu? saia de l?{nl}Por isso, a Esfera de Cristal do Mosteiro deve absorver energia sagrada em caso de emerg?cia para alertar o Pavilh? de Orao.{nl}
QUEST_LV_0200_20150717_008778	Moheim ?o respons?el pela Esfera de Cristal. {nl}Ele deve estar perto da Sala de Recepo.{nl}
QUEST_LV_0200_20150717_008779	O abade no Pavilh? de Orao n? sabe disso.{nl}Precisamos invoc?lo por meio da Esfera de Cristal.
QUEST_LV_0200_20150717_008780	Vou pegar o N?leo de Ativao
QUEST_LV_0200_20150717_008781	Vou encontrar a Deusa
QUEST_LV_0200_20150717_008782	O que voc?vai fazer se n? pode usar magia?
QUEST_LV_0200_20150717_008783	Por que n? pode usar magia?
QUEST_LV_0200_20150717_008784	Notice/Read the Memo from Hones!#5
QUEST_LV_0200_20150717_008785	Cercado de Inimigos
QUEST_LV_0200_20150717_008786	Retome o Acampamento (1)
QUEST_LV_0200_20150717_008787	Vou trazer
QUEST_LV_0200_20150717_008788	N? posso fazer isso
QUEST_LV_0200_20150717_008789	Retome o Acampamento (2)
QUEST_LV_0200_20150717_008790	Ajude a pegar equipamentos.
QUEST_LV_0200_20150717_008791	N? ajude.
QUEST_LV_0200_20150717_008792	Retome o Acampamento (3)
QUEST_LV_0200_20150717_008793	Ainda n? me preparei
QUEST_LV_0200_20150717_008794	Retome o Acampamento (4)
QUEST_LV_0200_20150717_008795	Vou montar uma unidade de defesa.
QUEST_LV_0200_20150717_008796	Retome o Acampamento (5)
QUEST_LV_0200_20150717_008797	Envie.
QUEST_LV_0200_20150717_008798	Pense melhor no assunto.
QUEST_LV_0200_20150717_008799	Ignore.
QUEST_LV_0200_20150717_008800	Persuading/TALK/0/TRACE_BEFORE/None
QUEST_LV_0200_20150717_008801	Showing the trap/TRADE_GIVE/1/TRACK_BEFORE/None
QUEST_LV_0200_20150717_008802	Mostrando a armadilha
QUEST_LV_0200_20150717_008803	Vamos
QUEST_LV_0200_20150717_008804	Vamos descansar um pouco
QUEST_LV_0200_20150717_008805	Vamos at?o Pavilh? de Orao
QUEST_LV_0200_20150717_008806	Fale com Gritah na Torre da Maga 1A
QUEST_LV_0200_20150717_008807	Fale com Gritah na Torre da Maga 2A
QUEST_LV_0200_20150717_008808	Se voc?liberar o Vapor de Chama, ele colher?as Ess?cias de Chama. Preencha a Joia da Proemin?cia com essas ess?cias.
QUEST_LV_0200_20150717_008809	Fale com Gritah na Torre da Maga 3A
QUEST_LV_0200_20150717_008810	O m?ico Antares foi solto. Derrote a Infrapedraruga Vermelha que Antares invocou.
QUEST_LV_0200_20150717_008811	Fale com Gritah na Torre da Maga 4A
QUEST_LV_0200_20150717_008812	Derrote os monstros e observe a Joia da Proemin?cia.
QUEST_LV_0200_20150717_008813	A Joia da Proemin?cia est?estranha. Fale com Gritah novamente.
QUEST_LV_0200_20150717_008814	Ative o Estabilizador M?ico
QUEST_LV_0200_20150717_008815	Voc?estabilizou a Joia da Proemin?cia com o estabilizador, mas ela continua emitindo uma energia incomum. Pergunte a Gritah o que fazer.
QUEST_LV_0200_20150717_008816	Encontre a Sala de Controle M?ico
QUEST_LV_0200_20150717_008817	A Joia da Proemin?cia foi estabilizada, mas a explos? no terceiro andar desestabilizou a Torre da Maga. V?at?a Sala de Controle M?ico para controlar a magia interrompida da Torre.
QUEST_LV_0200_20150717_008818	Proteja Gritah enquanto ela estabiliza a magia.
QUEST_LV_0200_20150717_008819	Gritah disse que voc?deve ir at?a Sala de Controle M?ico. Proteja Gritah enquanto ela estabiliza a magia.
QUEST_LV_0200_20150717_008820	Voc?derrotou todos os monstros, mas a Torre continua tremendo. Pergunte a Gritah o que fazer.
QUEST_LV_0200_20150717_008821	Voc?derrotou todos os monstros que amea?vam Gritah. Pergunte a Gritah o que fazer.
QUEST_LV_0200_20150717_008822	V?at?a Torre da Maga 5A
QUEST_LV_0200_20150717_008823	Gritah quer que voc?entregue a Joia da Proemin?cia para a Deusa enquanto ela cuida da torre. V?at?o quinto andar da Torre da Maga e encontre a Deusa.
QUEST_LV_0200_20150717_008824	Derrote o Desmancha-Prazeres bloqueando o caminho para o quinto andar
QUEST_LV_0200_20150717_008825	Pegue Garras de Carnurso
QUEST_LV_0200_20150717_008826	O Ladr? Hubertas quer que voc?pegue Garras de Carnurso e entregue ao Ex?cito Real.
QUEST_LV_0200_20150717_008827	Obtenha o N?leo de Ativao do Detector de Petrificao
QUEST_LV_0200_20150717_008828	O Criomante Kostas disse que precisa do N?leo de Ativao do Detector de Petrificao para amplificar o S?bolo de Sedimento. Verifique os Detectores de Petrificao no Cruzamento Palaikai e obtenha o N?leo de Ativao que reagir ao S?bolo do Sedimento.
QUEST_LV_0200_20150717_008829	Voc?encontrou um N?leo de Ativao do Detector de Petrificao. Entregue-o para o Criomante Kostas.
QUEST_LV_0200_20150717_008830	Derrote os monstros perto da Bifurcao do Estu?io
QUEST_LV_0200_20150717_008831	O Ladr? de T?ulos Steponas precisa de ajuda no distrito central da Cidade Petrificada.
QUEST_LV_0200_20150717_008832	Recupere o Xarope
QUEST_LV_0200_20150717_008833	Wilhelmina Carriot quer que voc?pegue o Xarope que os monstros roubaram dos soldados atingidos pela Geada de Pedra.
QUEST_LV_0200_20150717_008834	Fortaleza Vienti
QUEST_LV_0200_20150717_008835	Acenda uma fogueira na Fortaleza Vienti
QUEST_LV_0200_20150717_008836	Bokor Edita quer que voc?acenda as fogueiras na Fortaleza Vienti para consolar as almas nesta cidade.
QUEST_LV_0200_20150717_008837	Voc?acendeu a fogueira. Fale com Edita novamente.
QUEST_LV_0200_20150717_008838	Derrote Rubabos
QUEST_LV_0200_20150717_008839	O Alquimista Saliamonas quer que voc?derrote os Rubabos destruindo as ru?as na Fortaleza Nevekia.
QUEST_LV_0200_20150717_008840	Voc?derrotou os Rubavos para Saliamonas. Fale com ele novamente.
QUEST_LV_0200_20150717_008841	Derrote o Arma que insultou a Pedra Lacrada
QUEST_LV_0200_20150717_008842	A Pedra Lacrada quer que voc?derrote o Arma que a insultou. Derrote Arma para a Pedra.
QUEST_LV_0200_20150717_008843	Voc?derrotou o Arma que insultou a Pedra Lacrada. Fale com a Pedra.
QUEST_LV_0200_20150717_008844	O Disc?ulo Hones disse que a Tormenta das Trevas tem o Cristal da Alma que ?a chave para encontrar o legado do mestre. Use o Olho da Verdade para encontr?la e derrot?la.
QUEST_LV_0200_20150717_008845	Memorando de Hones: V?at?o Templo das Mem?ias ao obter todos os fragmentos da Joia M?ica de Contrato. Voc?pode restaurar a Joia M?ica no Campo M?ico da Preservao.
QUEST_LV_0200_20150717_008846	Os esp?itos de Jane e Arconte ser? libertados ao interromper a Pedra M?ica da Interao. Voc?pode enfraquecer o Arconte com o lacre que suprime seu poder m?ico.
QUEST_LV_0200_20150717_008847	Voc?deve restaurar a l?ide desgastada. Jogue o frasco vermelho de veneno no monstro para pegar a Secreo 햎ida Pegajosa e conseguir o solvente do Comerciante de Itens em Fedimian.
QUEST_LV_0200_20150717_008848	Use as caixas de comida que o Ferreiro lhe deu para atrair os Magos Infragalas e derrote-os para conseguir a Resina Pegajosa. {nl}Voc?tamb? pode ca?r Magos Infragalas na Floresta de Viltis.
QUEST_LV_0200_20150717_008849	V?at?a pr?ima ?ea
QUEST_LV_0200_20150717_008850	V?at?a pr?ima ?ea com Amanda
QUEST_LV_0200_20150717_008851	Fuja da invas? dos monstros
QUEST_LV_0200_20150717_008852	Fuja da invas? dos monstros.
QUEST_LV_0200_20150717_008853	Fale com o Guarda do Ex?cito Real Delus
QUEST_LV_0200_20150717_008854	Fale com o Guarda do Ex?cito Real Delus.
QUEST_LV_0200_20150717_008855	Recupere o Acampamento
QUEST_LV_0200_20150717_008856	Traga o Guarda do Ex?cito Real que ficou para tr?
QUEST_LV_0200_20150717_008857	Traga o Guarda do Ex?cito Real que ficou para tr?.
QUEST_LV_0200_20150717_008858	Fale com o Guarda do Ex?cito Real Delus
QUEST_LV_0200_20150717_008859	Verifique os corpos dos Guardas do Ex?cito Real e pegue equipamentos
QUEST_LV_0200_20150717_008860	Verifique os corpos dos Guardas do Ex?cito Real massacrados pelos monstros e pegue equipamentos.
QUEST_LV_0200_20150717_008861	Derrote os monstros ocupando o acampamento
QUEST_LV_0200_20150717_008862	Fale com Delus
QUEST_LV_0200_20150717_008863	Monte uma unidade de defesa
QUEST_LV_0200_20150717_008864	Monte uma unidade de defesa para proteger o acampamento
QUEST_LV_0200_20150717_008865	Derrote os monstros atacando
QUEST_LV_0200_20150717_008866	Proteja Amanda dos monstros atacando
QUEST_LV_0200_20150717_008867	Fale com Amanda
QUEST_LV_0200_20150717_008868	Derrote os monstros que atacaram os Guardas do Ex?cito Real.
QUEST_LV_0200_20150717_008869	Fale com a alma do General
QUEST_LV_0200_20150717_008870	Fale com a alma do General
QUEST_LV_0200_20150717_008871	Explore a ?ea secreta
QUEST_LV_0200_20150717_008872	A alma do General levou voc?a uma ?ea secreta. Explore a ?ea.
QUEST_LV_0200_20150717_008873	Obtenha %s das colmeias abandonadas
QUEST_LV_0200_20150717_008874	Fale com a Ca?dora Natasha sobre a carta
QUEST_LV_0200_20150717_008875	Fale com o Monge Superior Guus no Mosteiro de Tyla
QUEST_LV_0200_20150717_008876	Derrote os monstros reunidos
QUEST_LV_0200_20150729_008877	Teria sido melhor remover o p?de carv? do Cone de Fogo?
QUEST_LV_0200_20150729_008878	Libere este lacre. {nl}Para isso, obtenha e quebre o Cristal da Restrio dos Magos Frascos.
QUEST_LV_0200_20150729_008879	Avisei minha irm?Vakarine para se preparar. {nl}Mas as ondas que os dem?ios v? gerar podem arrast?la.
QUEST_LV_0200_20150729_008880	Preciso de uma escova mais forte. Desculpe, mas voc?pode pegar alguns Pelos Espetados? {nl}Atire estes espinhos paralisantes nos Arqueiros Wendigos para fazer com que desmaiem.
QUEST_LV_0200_20150729_008881	Gritah disse que o poder at?agora n? ?suficiente e que a fonte deve ser aprimorada. Derrote os monstros na Torre da Maga 2A e obtenha Fontes de Chama.
QUEST_LV_0200_20150729_008882	Derrote o Cone de Fogo e obtenha P?de Carv? Preto
QUEST_LV_0200_20150729_008883	Cordelier precisa de P?de Carv? Preto. Pegue-o do Cone de Fogo.
QUEST_LV_0200_20150729_008884	Derrote o Cone de Fogo e obtenha %s
QUEST_LV_0200_20150729_008885	Obtenha Brasas Eternas dos Drakes
QUEST_LV_0200_20150729_008886	Cordelier quer que voc?obtenha Brasas Eternas dos Drakes.
QUEST_LV_0200_20150729_008887	Derrote os monstros e pegue Peda?s de Arca Sagrada
QUEST_LV_0200_20150729_008888	A Pedra Lacrada vai se espalhar quando for libertada. Voc?precisa da Arca Sagrada para recolher sua arma. Obtenha os Peda?s de Arca Sagrada dos monstros na Torre da Maga 2A.
QUEST_LV_0200_20150729_008889	Derrote o Mago Frasco e obtenha o Cristal da Restrio
QUEST_LV_0200_20150729_008890	{memo Why is there a memo x, if this is used in the game?} O esp?ito da Pedra Lacrada quer se libertar do lacre. Obtenha o Cristal da Restrio do Mago Frasco e quebre-o.
QUEST_LV_0200_20150729_008891	A Coruja Fraca quer que voc?encontre as outras corujas levadas pelos monstros. Encontre vest?ios das Esculturas de Coruja no esconderijo do monstro em cada extremidade da Encruzilhada Ishrai.
